title;start;cm_bioprod_histlim;cm_BioSupply_Adjust_EU;BioImportTax_EU;cm_bioenergy_tax;cm_earlyreti_rate;cm_implicitFE;cm_implFETarget;cm_INNOPATHS_adj_coeff_multiplier;cm_INNOPATHS_adj_seed_multiplier;cm_vehiclesSubsidies;cm_INNOPATHS_adj_coeff;cm_INNOPATHS_adj_seed;cm_INNOPATHS_incolearn;cm_INNOPATHS_inco0Factor;cm_INNOPATHS_storageFactor;cm_INNOPATHS_renewables_floor_cost;cm_indst_costDecayStart;cm_indst_H2costDecayEnd;cm_build_costDecayStart;cm_build_H2costDecayEnd;cm_flex_tax;cm_shSynTrans;cm_shSynGas;cm_INNOPATHS_CCS_markup;cm_INNOPATHS_Industry_CCS_markup;cm_CCSRegiPol;c_ccsinjecratescen;c_budgetCO2;CES_parameters;cm_calibration_string;cm_calibration_FE;cm_iteration_max;regionmapping;cm_rcp_scen;cm_iterative_target_adj;carbonprice;regipol;cm_regiCO2target;cm_emiMktETS;cm_ETS_postTargetIncrease;cm_emiMktES;cm_emiMktES_type;cm_emiMktEScoop;cm_emiMktES2020price;cm_emiMktES2050;cm_ESD_postTargetIncrease;cm_ESD_post2055Increase;cm_NucRegiPol;cm_CoalRegiPol;cm_proNucRegiPol;cm_altFeEmiFac;cm_co2_tax_2020;optimization;c_testOneRegi_region;cm_nash_mode;buildings;transport;cm_EDGEtr_scen;CCU;cm_emiscen;cm_INCONV_PENALTY_bioSwitch;cm_startyear;path_gdx;path_gdx_ref
_____Calibration_cplx_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xx_Calib_FE_med;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;off;off;off;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;0;calibrate;FE_med;medium;0;./config/21_regions_EU11/regionmapping_21_EU11.csv;none;0;none;regiCarbonPrice;off;off;2;off;off;off;off;off;off;off;off;off;off;EUR_regi, NEU_regi;-1;nash;DEU;parallel;simple;complex;ConvCase;off;1;on;2005;;
_____default______;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xx_ref;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;off;off;off;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;0;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;none;0;none;regiCarbonPrice;off;off;2;off;off;off;off;off;off;off;off;off;off;EUR_regi, NEU_regi;-1;nash;DEU;parallel;simple;complex;ConvCase;off;1;on;2005;;
xx_gd40;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2020;;xx_ref
xx_gd55;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_gd55ets;0;-1;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
_____biomass_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xx_bio_limQ_gd40;0;1.5;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_bio_PHigh_gd40;0;-1;5;1.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_bio_PLow_gd40;0;-1;1;0.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_bio_limQandPHigh_gd40;0;1.5;5;1.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
xx_bio_limQ_gd55;0;1.5;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_bio_PHigh_gd55;0;-1;5;1.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_bio_PLow_gd55;0;-1;1;0.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_bio_limQandPHigh_gd55;0;1.5;5;1.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.878;linear;0.805;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55
xx_bio_limQ_gd55ets;0;1.5;3;1;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_bio_PHigh_gd55ets;0;-1;5;1.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_bio_PLow_gd55ets;0;-1;1;0.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
xx_bio_limQandPHigh_gd55ets;0;1.5;5;1.5;1.5;0.15;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 0.489;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd55ets
_____Capacity replacement_____;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xx_cap_fast_gd40;0;-1;3;1;1.5;0.2;FEtarget;2030.EUR_regi 1.396131;0.5;2;on;off;off;off;apcardiEfft 0.8, apcardiEffH2t 0.675;off;off;0.05;0.1;0.05;0.1;0;0;0;off;off;off;1;1100;load;FE_med;off;1;./config/21_regions_EU11/regionmapping_21_EU11.csv;rcp26;5;expoLinear;regiCarbonPrice;off;2030.year.netGHG 1.337;linear;1;netGHG;on;30;linear2010to2050;8;2;on;on;off;EUR_regi, NEU_regi;30;nash;DEU;parallel;simple;complex;ConvCase;on;9;on;2025;;xx_gd40
