EDGE,REMIND
feindsolid,fesoi
feagrsolid,fesoi
fenonsolid,fesoi
feindliquid,fehoi
feagrliquid,fehoi
fenonliquid,fehoi
feindgas,fegai
feagrgas,fegai
fenongas,fegai
feindheat,fehei
feagrheat,fehei
feindelec,feeli
feagrelec,feeli
feresbiomod,fesob
feresbiotrad,fesob
ferescoal,fesob
feserbio,fesob
fesercoal,fesob
feothsolid,fesob
feresliquid,fehob
feserliquid,fehob
feothliquid,fehob
fesergas,fegab
feothgas,fegab
feresgas,fegab
feserheat,feheb
feothheat,feheb
feresheat,feheb
feserelec,feelb
feothelec,feelb
fereselec,feelb
