title;start;cm_iteration_max;cm_emiscen;c_macscen;carbonprice;c_budgetCO2;cm_co2_tax_2020;c_tau_so2_xmpt;cm_iterative_target_adj;cm_rcp_scen;climate;cm_multigasscen;cm_bioenergy_tax;techpol;transport;buildings;industry;stationary;optimization;cm_so2tax_scen;subsidizeLearning;cm_nash_mode;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_SSP2ref;path_mif_bau#
Base;1;7;1;1;none;0;-1;1;0;rcp60;off;3;1;none;complex;simple;fixed_shares;off;nash;1;off;parallel;2005;/p/tmp/bertram/ADVANCE/wp6_20170320/output;;;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
Reference;1;7;9;1;RefPolicies;0;1;0;3;rcp60;off;3;1;RefPolicies;complex;simple;fixed_shares;off;nash;1;off;parallel;2015;/p/tmp/bertram/ADVANCE/wp6_20170320/output;Base;REF;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
INDC;1;7;9;1;NDC;0;1;0;3;rcp45;off;3;1;NDC;complex;simple;fixed_shares;off;nash;1;globallyOptimal;parallel;2025;/p/tmp/bertram/ADVANCE/wp6_20170320/output;Reference;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
INDC2030_CO2price_DEF;1;7;9;1;ExogSameAsPrevious;0;30;0;0;rcp26;magicc;3;1;none;complex;simple;fixed_shares;off;nash;1;globallyOptimal;parallel;2035;/p/tmp/bertram/ADVANCE/wp6_20170320/output;INDC;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
INDC2030_CO2price_400;1;7;9;1;ExogSameAsPrevious;0;120;0;0;rcp26;magicc;3;1;none;complex;simple;fixed_shares;off;nash;1;globallyOptimal;parallel;2035;/p/tmp/bertram/ADVANCE/wp6_20170320/output;INDC;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
INDC2030_1600;1;7;9;1;expoLinear;1600;60;0;5;rcp37;magicc;3;1;none;complex;simple;fixed_shares;off;nash;1;globallyOptimal;parallel;2035;/p/tmp/bertram/ADVANCE/wp6_20170320/output;INDC;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
INDC2030_1000;1;7;9;1;expoLinear;1000;80;0;5;rcp26;magicc;3;1;none;complex;simple;fixed_shares;off;nash;1;globallyOptimal;parallel;2035;/p/tmp/bertram/ADVANCE/wp6_20170320/output;INDC;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
INDC2030_400;1;7;9;1;expoLinear;400;200;0;5;rcp20;magicc;3;1;none;complex;simple;fixed_shares;off;nash;1;globallyOptimal;parallel;2035;/p/tmp/bertram/ADVANCE/wp6_20170320/output;INDC;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
INDC2020_CO2price_High;1;7;9;1;Exog4xPrevious;0;90;0;0;rcp20;magicc;3;1;none;complex;simple;fixed_shares;off;nash;1;globallyOptimal;parallel;2025;/p/tmp/bertram/ADVANCE/wp6_20170320/output;INDC2020_1000;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
INDC2020_1600;1;7;9;1;expoLinear;1600;40;0;5;rcp37;magicc;3;1;none;complex;simple;fixed_shares;off;nash;1;globallyOptimal;parallel;2025;/p/tmp/bertram/ADVANCE/wp6_20170320/output;INDC;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
