title;start;cm_emiscen;carbonprice;c_budgetCO2;cm_co2_tax_2020;c_tau_so2_xmpt;cm_multigasscen;cm_iterative_target_adj;cm_gdximport_target;cm_rcp_scen;climate;techpol;cm_earlyreti_rate;cm_nucscen;cm_fetaxscen;cm_co2_tax_growth;cm_so2tax_scen;subsidizeLearning;cm_startyear;cm_nash_mode;water;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_SSP2ref;path_mif_bau#
REF_Def05;1;1;none;0;-1;1;3;0;0;none;off;none;0.06;2;3;1.05;1;off;2005;parallel;heat;;;;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
NPi05;1;9;RefPolicies;0;1;0;3;3;1;rcp60;off;RefPolicies;0.06;2;3;1.05;1;off;2005;parallel;heat;;;;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
NPi_uba;1;9;RefPolicies;0;1;0;3;3;1;rcp60;off;RefPolicies;0.06;2;3;1.05;1;off;2015;parallel;heat;;REF_Def05;REF;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
REF_Def;1;1;none;0;-1;1;3;0;0;none;off;none;0.06;2;3;1.05;1;off;2020;parallel;heat;;NPi_uba;;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
2C_Def;1;9;expoLinear;990;30;0;3;5;1;rcp26;magicc;none;0.06;2;3;1.05;1;globallyOptimal;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
1p5C_Def;1;9;expoLinear;400;30;0;3;5;1;rcp20;magicc;none;0.06;2;3;1.05;1;globallyOptimal;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
REF_UBA_Sust;0;1;none;0;-1;1;3;0;0;none;off;EVmandates;0.1;5;4;1.03;1;off;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
2C_UBA_Sust;1;9;expoLinear;990;30;0;3;5;1;rcp26;magicc;EVmandates;0.1;5;4;1.03;1;globallyOptimal;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
1p5C_UBA_Sust;1;9;expoLinear;400;30;0;3;5;1;rcp20;magicc;EVmandates;0.1;5;4;1.03;1;globallyOptimal;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
REF_UBA_nofreelunch;0;1;none;0;-1;1;3;0;0;none;off;EVmandates;0.1;5;4;1.03;1;off;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
2C_UBA_nofreelunch;1;9;expoLinear;990;30;0;3;5;1;rcp26;magicc;EVmandates;0.1;5;4;1.03;1;globallyOptimal;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
1p5C_UBA_nofreelunch;1;9;expoLinear;400;30;0;3;5;1;rcp20;magicc;EVmandates;0.1;5;4;1.03;1;globallyOptimal;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
REF_Def_diet;0;1;none;0;-1;1;3;0;0;none;off;none;0.06;2;3;1.05;1;off;2020;parallel;heat;;NPi_uba;;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
2C_Def_diet;1;9;expoLinear;990;30;0;3;5;1;rcp26;magicc;none;0.06;2;3;1.05;1;globallyOptimal;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
1p5C_Def_diet;1;9;expoLinear;400;30;0;3;5;1;rcp20;magicc;none;0.06;2;3;1.05;1;globallyOptimal;2020;parallel;heat;;NPi_uba;BAU;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
REF_UBA_Sust05;1;1;none;0;-1;1;3;0;0;none;off;EVmandates;0.1;5;4;1.03;1;off;2005;parallel;heat;;;;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
REF_UBA_nofreelunch05;1;1;none;0;-1;1;3;0;0;none;off;none;0.06;2;3;1.05;1;off;2005;parallel;heat;;;;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
REF_Def_diet05;1;1;none;0;-1;1;3;0;0;none;off;EVmandates;0.1;5;4;1.03;1;off;2005;parallel;heat;;;;/p/projects/advance/1_and_6_synthesis/wp6_2016-06-27/output/Base_2016-06-27_15.06.30/fulldata.gdx;#
