X;CountryCode;RegionCode;missingH12
Afghanistan;AFG;OAS;
Aland Islands;ALA;ENC;EUR
Albania;ALB;NES;NEU
Algeria;DZA;MEA;
American Samoa;ASM;OAS;
Andorra;AND;NES;NEU
Angola;AGO;SSA;
Anguilla;AIA;LAM;
Antarctica;ATA;LAM;
Antigua and Barbuda;ATG;LAM;
Argentina;ARG;LAM;
Armenia;ARM;REF;
Aruba;ABW;LAM;
Australia;AUS;CAZ;
Austria;AUT;EWN;EUR
Azerbaijan;AZE;REF;
Bahamas;BHS;LAM;
Bahrain;BHR;MEA;
Bangladesh;BGD;OAS;
Barbados;BRB;LAM;
Belarus;BLR;REF;
Belgium;BEL;EWN;EUR
Belize;BLZ;LAM;
Benin;BEN;SSA;
Bermuda;BMU;LAM;
Bhutan;BTN;OAS;
Bolivia, Plurinational State of;BOL;LAM;
Bonaire, Sint Eustatius and Saba;BES;LAM;
Bosnia and Herzegovina;BIH;NES;NEU
Botswana;BWA;SSA;
Bouvet Island;BVT;LAM;
Brazil;BRA;LAM;
British Indian Ocean Territory;IOT;OAS;
Brunei Darussalam;BRN;OAS;
Bulgaria;BGR;ECS;EUR
Burkina Faso;BFA;SSA;
Burundi;BDI;SSA;
Cambodia;KHM;OAS;
Cameroon;CMR;SSA;
Canada;CAN;CAZ;
Cape Verde;CPV;SSA;
Cayman Islands;CYM;LAM;
Central African Republic;CAF;SSA;
Chad;TCD;SSA;
Chile;CHL;LAM;
China;CHN;CHA;
Christmas Island;CXR;OAS;
Cocos (Keeling) Islands;CCK;OAS;
Colombia;COL;LAM;
Comoros;COM;SSA;
Congo;COG;SSA;
Congo, the Democratic Republic of the;COD;SSA;
Cook Islands;COK;OAS;
Costa Rica;CRI;LAM;
Cote d Ivoire;CIV;SSA;
Croatia;HRV;ECS;EUR
Cuba;CUB;LAM;
Curacao;CUW;LAM;
Cyprus;CYP;ESC;EUR
Czech Republic;CZE;ECE;EUR
Denmark;DNK;ENC;EUR
Djibouti;DJI;SSA;
Dominica;DMA;LAM;
Dominican Republic;DOM;LAM;
Ecuador;ECU;LAM;
Egypt;EGY;MEA;
El Salvador;SLV;LAM;
Equatorial Guinea;GNQ;SSA;
Eritrea;ERI;SSA;
Estonia;EST;ECE;EUR
Ethiopia;ETH;SSA;
Falkland Islands (Malvinas);FLK;LAM;
Faroe Islands;FRO;ENC;EUR
Fiji;FJI;OAS;
Finland;FIN;ENC;EUR
France;FRA;FRA;EUR
French Guiana;GUF;LAM;
French Polynesia;PYF;OAS;
French Southern Territories;ATF;OAS;
Gabon;GAB;SSA;
Gambia;GMB;SSA;
Georgia;GEO;REF;
Germany;DEU;DEU;EUR
Ghana;GHA;SSA;
Gibraltar;GIB;UKI;EUR
Greece;GRC;ESC;EUR
Greenland;GRL;NEN;NEU
Grenada;GRD;LAM;
Guadeloupe;GLP;LAM;
Guam;GUM;OAS;
Guatemala;GTM;LAM;
Guernsey;GGY;UKI;EUR
Guinea;GIN;SSA;
Guinea-Bissau;GNB;SSA;
Guyana;GUY;LAM;
Haiti;HTI;LAM;
Heard Island and McDonald Islands;HMD;CAZ;
Holy See (Vatican City State);VAT;NES;NEU
Honduras;HND;LAM;
Hong Kong;HKG;CHA;
Hungary;HUN;ECS;EUR
Iceland;ISL;NEN;NEU
India;IND;IND;
Indonesia;IDN;OAS;
Iran, Islamic Republic of;IRN;MEA;
Iraq;IRQ;MEA;
Ireland;IRL;UKI;EUR
Isle of Man;IMN;UKI;EUR
Israel;ISR;MEA;
Italy;ITA;ESC;EUR
Jamaica;JAM;LAM;
Japan;JPN;JPN;
Jersey;JEY;UKI;EUR
Jordan;JOR;MEA;
Kazakhstan;KAZ;REF;
Kenya;KEN;SSA;
Kiribati;KIR;OAS;
Korea, Democratic People's Republic of;PRK;OAS;
Korea, Republic of;KOR;OAS;
Kuwait;KWT;MEA;
Kyrgyzstan;KGZ;REF;
Lao People's Democratic Republic;LAO;OAS;
Latvia;LVA;ECE;EUR
Lebanon;LBN;MEA;
Lesotho;LSO;SSA;
Liberia;LBR;SSA;
Libya;LBY;MEA;
Liechtenstein;LIE;NEN;NEU
Lithuania;LTU;ECE;EUR
Luxembourg;LUX;EWN;EUR
Macao;MAC;CHA;
Macedonia, the former Yugoslav Republic of;MKD;NES;NEU
Madagascar;MDG;SSA;
Malawi;MWI;SSA;
Malaysia;MYS;OAS;
Maldives;MDV;OAS;
Mali;MLI;SSA;
Malta;MLT;ESC;EUR
Marshall Islands;MHL;OAS;
Martinique;MTQ;LAM;
Mauritania;MRT;SSA;
Mauritius;MUS;SSA;
Mayotte;MYT;SSA;
Mexico;MEX;LAM;
Micronesia, Federated States of;FSM;OAS;
Moldova, Republic of;MDA;REF;
Monaco;MCO;NES;NEU
Mongolia;MNG;OAS;
Montenegro;MNE;NES;NEU
Montserrat;MSR;LAM;
Morocco;MAR;MEA;
Mozambique;MOZ;SSA;
Myanmar;MMR;OAS;
Namibia;NAM;SSA;
Nauru;NRU;OAS;
Nepal;NPL;OAS;
Netherlands;NLD;EWN;EUR
New Caledonia;NCL;OAS;
New Zealand;NZL;CAZ;
Nicaragua;NIC;LAM;
Niger;NER;SSA;
Nigeria;NGA;SSA;
Niue;NIU;OAS;
Norfolk Island;NFK;OAS;
Northern Mariana Islands;MNP;OAS;
Norway;NOR;NEN;NEU
Oman;OMN;MEA;
Pakistan;PAK;OAS;
Palau;PLW;OAS;
Palestine, State of;PSE;MEA;
Panama;PAN;LAM;
Papua New Guinea;PNG;OAS;
Paraguay;PRY;LAM;
Peru;PER;LAM;
Philippines;PHL;OAS;
Pitcairn;PCN;OAS;
Poland;POL;ECE;EUR
Portugal;PRT;ESW;EUR
Puerto Rico;PRI;LAM;
Qatar;QAT;MEA;
Reunion;REU;SSA;
Romania;ROU;ECS;EUR
Russian Federation;RUS;REF;
Rwanda;RWA;SSA;
Saint Barthelemy;BLM;LAM;
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA;
