X;CountryCode;RegionCode
Afghanistan;AFG;OAS
Aland Islands;ALA;EUN
Albania;ALB;ROE
Algeria;DZA;MEA
American Samoa;ASM;OAS
Andorra;AND;ROE
Angola;AGO;SSA
Anguilla;AIA;LAM
Antarctica;ATA;LAM
Antigua and Barbuda;ATG;LAM
Argentina;ARG;LAM
Armenia;ARM;REF
Aruba;ABW;LAM
Australia;AUS;CAZ
Austria;AUT;ESC
Azerbaijan;AZE;REF
Bahamas;BHS;LAM
Bahrain;BHR;MEA
Bangladesh;BGD;OAS
Barbados;BRB;LAM
Belarus;BLR;REF
Belgium;BEL;EWN
Belize;BLZ;LAM
Benin;BEN;SSA
Bermuda;BMU;LAM
Bhutan;BTN;OAS
Bolivia, Plurinational State of;BOL;LAM
Bonaire, Sint Eustatius and Saba;BES;LAM
Bosnia and Herzegovina;BIH;ROE
Botswana;BWA;SSA
Bouvet Island;BVT;LAM
Brazil;BRA;LAM
British Indian Ocean Territory;IOT;OAS
Brunei Darussalam;BRN;OAS
Bulgaria;BGR;ESE
Burkina Faso;BFA;SSA
Burundi;BDI;SSA
Cambodia;KHM;OAS
Cameroon;CMR;SSA
Canada;CAN;CAZ
Cape Verde;CPV;SSA
Cayman Islands;CYM;LAM
Central African Republic;CAF;SSA
Chad;TCD;SSA
Chile;CHL;LAM
China;CHN;CHA
Christmas Island;CXR;OAS
Cocos (Keeling) Islands;CCK;OAS
Colombia;COL;LAM
Comoros;COM;SSA
Congo;COG;SSA
Congo, the Democratic Republic of the;COD;SSA
Cook Islands;COK;OAS
Costa Rica;CRI;LAM
Cote d Ivoire;CIV;SSA
Croatia;HRV;ESE
Cuba;CUB;LAM
Curacao;CUW;LAM
Cyprus;CYP;ESE
Czech Republic;CZE;ECE
Denmark;DNK;EUN
Djibouti;DJI;SSA
Dominica;DMA;LAM
Dominican Republic;DOM;LAM
Ecuador;ECU;LAM
Egypt;EGY;MEA
El Salvador;SLV;LAM
Equatorial Guinea;GNQ;SSA
Eritrea;ERI;SSA
Estonia;EST;ECE
Ethiopia;ETH;SSA
Falkland Islands (Malvinas);FLK;LAM
Faroe Islands;FRO;EUN
Fiji;FJI;OAS
Finland;FIN;EUN
France;FRA;FRA
French Guiana;GUF;LAM
French Polynesia;PYF;OAS
French Southern Territories;ATF;OAS
Gabon;GAB;SSA
Gambia;GMB;SSA
Georgia;GEO;REF
Germany;DEU;DEU
Ghana;GHA;SSA
Gibraltar;GIB;UKI
Greece;GRC;ESE
Greenland;GRL;ROE
Grenada;GRD;LAM
Guadeloupe;GLP;LAM
Guam;GUM;OAS
Guatemala;GTM;LAM
Guernsey;GGY;UKI
Guinea;GIN;SSA
