title;start;slurmConfig;cm_wasteIncinerationCCSshare;cm_EDGEtr_scen;cm_reducCostB;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;cm_budgetCO2from2020;carbonprice;cm_taxCO2_functionalForm;cm_taxCO2_regiDiff;regipol;cm_implicitQttyTarget;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;carbonpriceRegi;cm_netZeroScen;cm_taxCO2_startyear;cm_peakBudgYr;cm_taxCO2_IncAfterPeakBudgYr;cm_emiscen;cm_taxCO2_expGrowth;cm_maxProdBiolc;techpol;cm_multigasscen;cm_startyear;path_gdx_carbonprice;path_gdx;path_gdx_refpolicycost;path_gdx_ref;path_gdx_bau;description
ELV_CurPol_NPi;1;9;;Mix2ICEban;none;rcp45;0;off;0;NPi;;;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1.05;100;NPi2018;3;2005;;;;;;ELV_CurPol_T44: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030. In the default setting carbon prices converges after 2030 over all regions to $25 eoc.
ELV_CurPol_NPi2025;0;9;;Mix2ICEban;none;rcp45;0;off;0;NPi2025;;;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1;100;NPi2018;3;2005;;;;;;ELV_CurPol_NPi2025: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030 with new expert guess for 2025 and 2030 (EUR only). After 2030 each region has a linear price increase of $20 eoc.
ELV-SSP2-CP-D0;1;9;;Mix2ICEban;none;rcp45;0;off;0;NPi2025expo;;;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1;100;NPi2018;3;2005;;;;;;ELV-SSP2-CP-D0: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030 with new expert guess for 2025 and 2030 (EUR only). After 2030 each region keeps the carbon price constant.
ELV-SSP2-CP-D1;1;9;;Mix2ICEban;none;rcp45;0;off;0;NPi2025expo;;;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1.01;100;NPi2018;3;2005;;;;;;ELV-SSP2-CP-D1: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030 with new expert guess for 2025 and 2030 (EUR only). After 2030 each region increases their carbon price by 1%.
ELV-SSP2-CP-D3;1;9;;Mix2ICEban;none;rcp45;0;off;0;NPi2025expo;;;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1.03;100;NPi2018;3;2005;;;;;;ELV-SSP2-CP-D3: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030 with new expert guess for 2025 and 2030 (EUR only). After 2030 each region increases their carbon price by 3%.
ELV_NDC2030;1;9;;Mix3ICEban;none;rcp45;3;globallyOptimal;0;NDC;;;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2020.2030.EUR_regi.all.year.netGHG_LULUCFGrassi 2.450;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1.05;100;NDC;3;2025;;;ELV_CurPol_NPi2025;ELV_CurPol_NPi2025;ELV_CurPol_NPi;ELV_NDC2030: The NDCs scenario aims to represent the goals of each country or region defined in their NDCs. The ambition levels reached in the target year remains at least constant throughout the rest of the century.
ELV-SSP2-NDC-D0;1;9;;Mix3ICEban;none;rcp45;3;globallyOptimal;0;NDCexpo;;;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1;100;NDC;3;2035;ELV_NDC2030;ELV_NDC2030;ELV_NDC2030;ELV_NDC2030;ELV_CurPol_NPi;ELV-SSP2-NDC-D0: The NDCs scenario aims to represent the goals of each country or region defined in their NDCs. The ambition levels reached in the target year remains constant throughout the rest of the century.
ELV-SSP2-NDC-D1;1;9;;Mix3ICEban;none;rcp45;3;globallyOptimal;0;NDCexpo;;;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1.01;100;NDC;3;2035;ELV_NDC2030;ELV_NDC2030;ELV_NDC2030;ELV_NDC2030;ELV_CurPol_NPi;ELV-SSP2-NDC-D1: The NDCs scenario aims to represent the goals of each country or region defined in their NDCs. The ambition levels reached in the target year increases by 1%.
ELV-SSP2-NDC-D3;1;9;;Mix3ICEban;none;rcp45;3;globallyOptimal;0;NDCexpo;;;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;none;;1;2100;3;9;1.03;100;NDC;3;2035;ELV_NDC2030;ELV_NDC2030;ELV_NDC2030;ELV_NDC2030;ELV_CurPol_NPi;ELV-SSP2-NDC-D3: The NDCs scenario aims to represent the goals of each country or region defined in their NDCs. The ambition levels reached in the target year increases by 3%.
ELV-SSP2-LTS;1;9;2050.GLO 0.5;Mix3ICEban;none;rcp26;3;globallyOptimal;0;NDC;;;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2020.2030.EUR_regi.all.year.netGHG_LULUCFGrassi 2.450;on;on;EUR_regi, NEU_regi;netZero;ELEVATE2p3;1;2100;3;9;1.02;100;NDC;3;2025;;;ELV_CurPol_NPi2025;ELV_CurPol_NPi2025;ELV_CurPol_NPi;ELV-SSP2-LTS: High uncoordinated ambition (Considering the mid-century strategy pledges (net-zero) announced at COP26 in Glasgow.)
