title;start;CES_parameters;regionmapping;cm_rcp_scen;climate;cm_magicc_config;cm_magicc_calibrateTemperature2000;downscaleTemperature;damages;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_CO2priceRegConvYr;cm_emiscen;cm_fetaxscen;cm_co2_tax_growth;trade;cm_import_EU;cm_bioenergy_tax;cm_bioenergymaxscen;cm_bioprod_histlim;c_ccsinjecratescen;c_ccscapratescen;cm_noPeFosCCDeu;c_BaselineAgriEmiRed;cm_wind_offshore;cm_flex_tax;cm_ariadne_VRECapFac_adj;cm_PriceDurSlope_elh2;cm_build_H2costAddH2Inv;cm_CESMkup_build;cm_CESMkup_ind;cm_FEtax_trajectory_rel;cm_INNOPATHS_inco0Factor;cm_INNOPATHS_adj_coeff_multiplier;cm_INNOPATHS_adj_seed_multiplier;techpol;regipol;cm_regiCO2target;cm_regipol_slope_beforeTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_POPscen;cm_GDPscen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_OILRETIRE;cm_LU_emi_scen;cm_tradecost_bio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_cooling_shares;transport;cm_EDGEtr_scen;CDR;CCU;cm_optimisticMAC;cm_INCONV_PENALTY_bioSwitch;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_carbonprice
SSP2EU-calibrate;0;calibrate;config/regionmappingH12.csv;none;magicc;RCP26_50;HADCRUT4;CMIP5;off;0;off;0;none;-1;2100;3;2050;1;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;none;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;Mix;DAC;on;0;off;2005;;;;
SSP2EU-Base;1;load;config/regionmappingH12.csv;none;magicc;RCP26_50;HADCRUT4;CMIP5;off;0;off;0;none;-1;2100;3;2050;1;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;none;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;Mix;DAC;on;0;off;2005;;;;
SSP2EU-NDC;0;load;config/regionmappingH12.csv;rcp45;magicc;RCP26_50;HADCRUT4;CMIP5;off;3;globallyOptimal;0;NDC;1;2100;3;2050;9;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;NDC;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;Mix;DAC;on;0;off;2015;;SSP2EU-Base;SSP2EU-Base;
SSP2EU-NPi;0;load;config/regionmappingH12.csv;rcp45;magicc;RCP26_50;HADCRUT4;CMIP5;off;3;off;0;NPi2018;1;2100;3;2050;9;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;NPi2018;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;Mix;DAC;on;0;off;2025;;SSP2EU-NDC;SSP2EU-Base;
SSP2EU-PkBudg900;0;load;config/regionmappingH12.csv;rcp20;magicc;RCP26_50;HADCRUT4;CMIP5;off;9;globallyOptimal;900;diffCurvPhaseIn2Lin;200;2045;3;2050;9;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;NDC;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2EU;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;Mix;DAC;on;0;off;2025;;SSP2EU-NDC;SSP2EU-Base;
SSP2EU_lowEn-calibrate;0;calibrate;config/regionmappingH12.csv;none;magicc;RCP26_50;HADCRUT4;CMIP5;off;0;off;0;none;-1;2100;3;2050;1;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;none;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2_lowEn;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;MixWise;DAC;on;0;off;2005;;;;
SSP2EU_lowEn-Base;1;load;config/regionmappingH12.csv;none;magicc;RCP26_50;HADCRUT4;CMIP5;off;0;off;0;none;-1;2100;3;2050;1;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;none;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2_lowEn;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;MixWise;DAC;on;0;off;2005;;;;
SSP2EU_lowEn-NDC;0;load;config/regionmappingH12.csv;rcp45;magicc;RCP26_50;HADCRUT4;CMIP5;off;3;globallyOptimal;0;NDC;1;2100;3;2050;9;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;NDC;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2_lowEn;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;MixWise;DAC;on;0;off;2015;;SSP2EU-NDC;SSP2EU_lowEn-Base;
SSP2EU_lowEn-NPi;0;load;config/regionmappingH12.csv;rcp45;magicc;RCP26_50;HADCRUT4;CMIP5;off;3;off;0;NPi2018;1;2100;3;2050;9;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;NPi2018;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2_lowEn;medOil;medGas;medCoal;1;2;1;3;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;MixWise;DAC;on;0;off;2025;;SSP2EU-NDC;SSP2EU_lowEn-Base;
SSP2EU_lowEn-PkBudg900;0;load;config/regionmappingH12.csv;rcp20;magicc;RCP26_50;HADCRUT4;CMIP5;off;9;globallyOptimal;900;diffCurvPhaseIn2Lin;200;2045;3;2050;9;3;1.05;standard;off;1.5;0;-1;1;1;0;0;0;0;off;20;0.2;standard;standard;off;off;off;off;NDC;none;off;off;off;off;off;pop_SSP2EU;gdp_SSP2EU;gdp_SSP2_lowEn;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;edge_esm;MixWise;DAC;on;0;off;2025;;SSP2EU-NDC;SSP2EU_lowEn-Base;
