title;start;CES_parameters;copyConfigFrom;path_gdx;path_gdx_ref;path_gdx_bau;cm_startyear;carbonpriceRegi;cm_netZeroScen;techpol;cm_NDC_version;carbonprice;cm_budgetCO2from2020;cm_taxCO2_functionalForm;cm_taxCO2_startyear;cm_taxCO2_historical;cm_taxCO2_historicalYr;cm_peakBudgYr;cm_iterative_target_adj;cm_taxCO2_Shape;cm_taxCO2_regiDiff;cm_taxCO2_IncAfterPeakBudgYr;cm_budgetCO2_absDevTol;cm_maxProdBiolc;cm_frac_NetNegEmi;cm_33DAC;cm_33EW;cm_33OAE;c_ccsinjecratescen;c_ccsinjecrateRegi;cm_reducCostB;cm_taxCO2_expGrowth;regionmapping;extramappings_historic;cm_rcp_scen;cm_magicc_config;subsidizeLearning;cm_prtpScen;capitalMarket;slurmConfig;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_bioenergy_SustTax;cm_33_OAE_limit_EEZ;c_ccscapratescen;cm_CESMkup_build;cm_wasteIncinerationCCSshare;regipol;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_GDPpopScen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_CESMkup_ind;cm_EDGEtr_scen;c_changeProdCost;path_gdx_refpolicycost;description
# H12 SSP2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-NPi-calibrate;calibrate,AMT,compileInTests,calibrateSSP2;calibrate;;;;;2005;;;NPi2018;;NPi;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mix1;;;SSP2-NPi-calibrate: This reference policy/baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road.
SSP2-NDC;1,AMT,2;;;;SSP2-NPi2025;SSP2-NPi2025;2030;;;;;NDC;;;;;;;3;;;;;;;;;;;;;;;;;;globallyOptimal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;SSP2-NPi2025;SSP2-NDC: This Nationally Determined Contribution (NDC) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. It assumes NPi2025 until 2025 and has start year 2030. The NDC includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century.
SSP2-NDCsy2025;1,AMT,2;;;;SSP2-NPi;SSP2-NPi2025;2025;;;;;NDC;;;;;;;3;;;;;;;;;;;;;;;;;;globallyOptimal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;SSP2-NPi2025;SSP2-NDCsy2025: This Nationally Determined Contribution (NDC) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. It assumes NPi until 2020 and has start year 2025.The NDC includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century.
SSP2-NPi;1,AMT,compileInTests,2;;;;;;2005;;;NPi2018;;NPi;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mix1;;;SSP2-NPi: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead, carbon prices are assumed to grow and converge more slowly, leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
SSP2-NPi2025;1,AMT,2;;;;;;2005;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SSP2-NPi2025: This National Policies Implemented (NPi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi assumes that policies fail to achieve NDC targets in 2030. Instead, carbon prices are assumed to grow and converge more slowly, leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
SSP2-PkBudg500;1,AMT,2;;;;SSP2-NPi2025;;2030;;;;;functionalForm;500;;200;;;2045;9;;5;;;;;;;;;;;;;;rcp20;;globallyOptimal;;;;;;;;;;;;2050.GLO 0.9;;;;;;;;;;;;;2;;;;;;Elec_Push;Mix4ICEban;1;SSP2-NPi2025;SSP2-PkBudg500: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 500 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario, peak warming is allowed to be well below 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
SSP2-PkBudg650;1,AMT,2;;;;SSP2-NPi2025;;2030;;;;;functionalForm;650;;100;;;2055;9;;6;;;;;;;;;;;;;;rcp20;;globallyOptimal;;;;;;;;;;;;2050.GLO 0.9;;;;;;;;;;;;;2;;;;;;Elec_Push;Mix4ICEban;1;SSP2-NPi2025;SSP2-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5C scenario, peak warming is allowed to be at or slightly above 1.5C at median climate sensitivity but returns to values below 1.5C in at least 67 % of scenarios by the end of the century.
SSP2-PkBudg1000;1,AMT,2;;;;SSP2-NPi2025;;2030;;;;;functionalForm;1000;;75;;;2080;9;;7;;;;;;;;;;;;;;rcp26;;globallyOptimal;;;;;;;;;;;;2050.GLO 0.5;;;;;;;;;;;;;2;;;;;;;Mix3ICEban;1;SSP2-NPi2025;SSP2-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2C scenario at median climate sensitivity but returns to values below 2C in at least 67 % of scenarios during the whole century.
SSP2-EcBudg500;1,AMT,2;;;;SSP2-NPi2025;;2035;;;;;functionalForm;500;exponential;70;;;;5;;7;;5;200;0;;1;1;;;;;;;rcp26;;globallyOptimal;;;;;;;;;5000;;;2060.GLO 0.9;;;;;;;;;;;;;2;;;;;;;Mix3ICEban;1;SSP2-NPi2025;SSP2-EcBudg400: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes an end-of-century budget of 400 Gt CO2 on total CO2 emissions from 2020 to 2100. This is a high overshoot scenario with delayed climate policy.
SSP2-rollBack;1,AMT,2;;;;SSP2-NPi2025;;2030;;;none;;none;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;Mix1;1;SSP2-NPi2025;SSP2-rollBack: This rollback of climate policy scenario follows the Shared Socioeconomic Pathways 3 called Middle of the Road.
SSP3-rollBack;1,AMT;;;;SSP2-NPi2025;;2030;;;none;;none;;;;;;;0;;;;;;;;;;;;;;;;;;;3;;;0;;;1;;;;;;;;;;SSP3;SSP3;;;highCoal;SSP3;;0;;SSP3;1.5;;forcing_SSP3;;;Mix1;1;;SSP3-rollBack: This rollback of climate policy scenario follows the Shared Socioeconomic Pathways 3 called High.
# NGFS (no damages);;load;;;;;2005;none;NGFS_v4;NPi2025;2026_cond;NPi2025;0;linear;-1;gdx_ref;last;2050;0;1;6;0;2;off;0.5;1;0;0;1;off;;1.045;;;rcp45;OLDDEFAULT;off;;;;9;GLO 0.09, EUR_regi 0.15;USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.5;;1;;off (zero waste capture);regiCarbonPrice;;;;;SSP2;medOil;medGas;medCoal;;2;1;3;SSP2;1;0;forcing_SSP2;SMIPbySSP;;Mix2ICEban;5;;
h_cpol;NGFS;;SSP2-NPi2025;;;;;;;;;;;;;;;;;;;;;100;;;;;6;;;;;;;RCP26_50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;h_cpol: Current Policies. Only currently implemented policies are preserved, leading to high physical risks. Existing climate policies remain in place, but there is no strengthening of ambition level of these policies. Withdrawal of mitigation policies is taken into account. Emissions grow until 2080 leading to about 3 K of warming and severe physical risks. This includes irreversible changes like higher sea level rise. No Damages from climate change are considered.
h_ndc;NGFS;;h_cpol;;h_cpol;h_cpol;2030;;;;;NDC;;;;;;;3;;;;;;;;;;;;;;;;;;globallyOptimal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;h_cpol;h_ndc: Nationally Determined Contributions (NDCs). All pledged targets are assumed to be implemented, even if they are not yet backed up by effective policies. Countries implement pledged policies in addition to current policies and keep their level of ambition beyond the NDC horizon. Countries that have released NDCs at different dates reach all of them (as much as still plausible). Emissions decline but lead nonetheless to about 2.5 K of warming associated with moderate to severe physical risks. Transition risks are relatively low. No Damages from climate change are considered.
o_1p5c;NGFS,NGFS_1p5c;;h_cpol;;h_cpol;;2030;netZero;;;;functionalForm;750;;100;;;2055;9;;6;6;;;;;;;;;;;;;rcp20;;globallyOptimal;;;;;;;;;;;;2050.GLO 0.9;;;;;;;;;;;;;2;;;;;;Elec_Push;Mix4ICEban;1;h_cpol;o_1p5c: Net Zero 2050. After a limited overshoot, global warming returns to 1.5°C (with a 50% chance) through stringent climate policies and innovation, reaching global net zero CO2 emissions around 2050. Global CO2 emissions reach or approach net zero in 2050. Countries with a political commitment to a net-zero target meet this target around the specified target year. Some jurisdictions such as the EU, UK, Canada, Australia, and Japan reach net zero for all GHGs as specified by their target. Emissions developments until 2030 stay well within plausibility limits. CDR is used to accelerate the decarbonisation but kept to the minimum possible and broadly in line with sustainable levels of bioenergy production. Physical risks are relatively low but transition risks are high. No Damages from climate change are considered.
o_2c;NGFS;;h_cpol;;h_cpol;;2030;netZero;NGFS_v4_20pc;;;functionalForm;1000;;75;;;2080;9;;7;;;;;;;;;;;;;;rcp26;;globallyOptimal;;;;;;;;;;;;2050.GLO 0.5;;;;;;;;;;;;;2;;;;;;;Mix3ICEban;1;h_cpol;o_2c: Below 2 Degrees C. The stringency of climate policies is gradually increased, to limit global warming to 2°C (with a 67% chance) throughout the 21st century. Countries with net-zero targets reduce emissions by at least 80% relative to 2025 until the target year, others follow trajectories that allow for the global target to be reached. Deployment of CDR is relatively low. Net-zero CO2 emissions are achieved after 2070. Physical and transition risks are both relatively low. No Damages from climate change are considered.
d_delfrag_2035;NGFS;;h_cpol;;h_cpol;;2040;netZero;NGFS_v4_20pc;;;functionalForm;1000;;166;;;2070;5;2;7;;;;;;;;;;;;;;rcp26;;globallyOptimal;;;;;;;;;;;;2050.GLO 0.5;;;;;;;;;;;;;2;;;;;;;Mix3ICEban;1;h_cpol;d_delfrag: Delayed Transition. Annual emissions follow current trends until 2035. Strong policies are later needed to return warming to below 2°C (with a 67% chance) in 2100. Countries stick to current policies until 2035, after which they transition such that global warming returns under 2°C. This change of regime in 2035 is unanticipated and therefore disruptive. Countries with net-zero targets reduce emissions by at least 80% relative to 2025 until the target year. Net-negative CO2 emissions are limited. Considerable transition and physical risks. No Damages from climate change are considered.
d_strain_2025;NGFS;;h_cpol;;h_cpol;;2030;netZero;NGFS_v4_20pc;;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;h_cpol;d_strain: Fragmented world. A divergent climate policy response among countries globally leads to high physical and transition risks. From 2025 onward, there is a divergent transition: countries with net-zero targets reduce emissions by at least 80% relative to 2025 until the target year, while others continue with current policies. Net-negative CO2 emissions are limited. No Damages from climate change are considered.
# variations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_delfrag_2030;NGFS;;d_delfrag_2035;;;;2035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d_strain_2035;NGFS;;d_strain_2025;;;;2040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
o_1p5c_noDAC;NGFS_1p5c;;o_1p5c;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
o_1p5c_Pk725;NGFS_1p5c;;o_1p5c;;;;;;;;;;725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
o_1p5c_Pk750;NGFS_1p5c;;o_1p5c;;;;;;;;;;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# added column;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# changed value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# to check;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
