title;start;cm_rcp_scen;cm_iterative_target_adj;cm_carbonprice_temperatureLimit;c_budgetCO2;carbonprice;cm_co2_tax_2020;techpol;climate;downscaleTemperature;optimization;cm_emiscen;damages;cm_damage_DiceLike_specification;internalizeDamages;cm_magicc_temperatureImpulseResponse;cm_damages_BurkeLike_persistenceTime;cm_damages_BurkeLike_specification;cm_damages_SccHorizon;cm_startyear;cm_OILRETIRE;path_gdx;path_gdx_ref;path_gdx_bau
v70_cbacea_brk5_1000_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;10000;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk5_30_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;30;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk5_15_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;15;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk5_5_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;5;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk5_0_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;0.0000001;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk0_1000_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;10000;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk0_30_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;30;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk0_15_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;15;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk0_5_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;5;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_brk0_0_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;0.0000001;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk5_1000_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;10000;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk5_30_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;30;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk5_15_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;15;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk5_5_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;5;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk5_0_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;0.0000001;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk0_1000_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;10000;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk0_30_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;30;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk0_15_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;15;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk0_5_SSP2;1;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;5;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_brk0_0_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;off;on;0.0000001;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cbacea_DICE2013_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;DiceLike;DICE2013R;DiceLikeItr;on;;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cea_DICE2013_SSP2;0;rcp26;5;;1360;exponential;1;NDC;magicc;CMIP5;nash;9;DiceLike;DICE2013R;off;on;;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk5_1000_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;10000;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk5_30_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;30;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk5_15_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;15;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk5_5_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;5;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk5_0_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;0.0000001;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk0_1000_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;10000;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk0_30_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;30;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk0_15_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;15;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk0_5_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;5;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_brk0_0_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;BurkeLike;;BurkeLikeItr;on;0.0000001;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70_cba_DICE2013_SSP2;0;rcp26;0;;1360;none;;NDC;magicc;CMIP5;nash;10;DiceLike;DICE2013R;DiceLikeItr;on;;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70tt18_cbacea_brk5_1000_SSP2;0;rcp26;100;1.8;;temperatureNotToExceed;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;10000;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70tt18_cbacea_brk5_30_SSP2;0;rcp26;100;1.8;;temperatureNotToExceed;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;30;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70tt18_cbacea_brk5_15_SSP2;0;rcp26;100;1.8;;temperatureNotToExceed;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;15;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70tt18_cbacea_brk5_5_SSP2;0;rcp26;100;1.8;;temperatureNotToExceed;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;5;5;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
v70tt18_cbacea_brk0_1000_SSP2;0;rcp26;100;1.8;;temperatureNotToExceed;1;NDC;magicc;CMIP5;nash;9;BurkeLike;;BurkeLikeItr;on;10000;0;100;2025;on;./config/input.gdx;./output/SSP2-NDC_2019-07-11_17.42.14/fulldata.gdx;./output/SSP2-Base_2019-07-10_12.20.54/fulldata.gdx
