title;start;climate;c_budgetCO2;cm_iterative_target_adj;cm_emiscen;carbonprice;cm_co2_tax_2020;cm_rcp_scen;techpol;emicapregi;cm_permittradescen;cm_multigasscen;cm_OILRETIRE;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_opt
SSP2-Base;1;off;0;0;1;none;-1;none;none;none;1;2;off;2005;/p/projects/remind/runs/r8264/output/Base_2019-01-05_02.42.54//fulldata.gdx;;;
SSP2-NDC2018;1;off;0;3;9;NDC;1;rcp45;NDC;none;1;3;off;2015;/p/projects/remind/runs/r8264/output/NDC_2019-01-05_03.31.40/fulldata.gdx;SSP2-Base;SSP2-Base;
NPi2020_1000_flexibility_CO;1;magicc;1000;5;9;expoLinear;20;rcp26;none;none;1;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;SSP2-NDC2018;SSP2-Base;
NPi2020_1000_flexibility_PCC;1;magicc;0;0;4;none;-1;rcp26;none;PerCapitaConvergence;1;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_flexibility_AP;1;magicc;0;0;4;none;-1;rcp26;none;AbilityToPay;1;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_domestic_PCC;1;magicc;0;0;4;none;-1;rcp26;none;PerCapitaConvergence;2;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_domestic_AP;1;magicc;0;0;4;none;-1;rcp26;none;AbilityToPay;2;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_limit5_PCC;1;magicc;0;0;4;none;-1;rcp26;none;PerCapitaConvergence;5;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_limit5_AP;1;magicc;0;0;4;none;-1;rcp26;none;AbilityToPay;5;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_limit15_PCC;1;magicc;0;0;4;none;-1;rcp26;none;PerCapitaConvergence;15;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_limit15_AP;1;magicc;0;0;4;none;-1;rcp26;none;AbilityToPay;15;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_limit50_PCC;1;magicc;0;0;4;none;-1;rcp26;none;PerCapitaConvergence;50;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
NPi2020_1000_limit50_AP;1;magicc;0;0;4;none;-1;rcp26;none;AbilityToPay;50;2;on;2025;/p/projects/remind/runs/r8264/output/Budg950_2019-01-05_04.47.50/fulldata.gdx;NPi2020_1000_flexibility_CO;SSP2-Base;
