title;start;cm_rcp_scen;cm_iterative_target_adj;carbonprice;cm_co2_tax_2020;climate;optimization;cm_emiscen;cm_startyear;CES_parameters;industry;c_solver_try_max;revision;c_CES_calibration_new_structure;c_CES_calibration_iterations;c_testOneRegi_region;path_gdx;path_gdx_ref;path_gdx_bau
BAU_Nash;0;none;0;none;-1;off;nash;1;2005;load;fixed_shares;2;5.941;0;10;EUR;./config/input.gdx;;
RCP37;0;rcp37;5;exponential;30;off;nash;9;2015;load;fixed_shares;2;5.941;0;10;EUR;./config/input.gdx;BAU_Nash;
RCP26;0;rcp26;5;exponential;30;off;nash;9;2015;load;fixed_shares;2;5.941;0;10;EUR;./config/input.gdx;BAU_Nash;
cal_test_40;1;none;0;none;-1;off;nash;1;2005;calibrate;subsectors;5;5.941;0;40;EUR;./config/input.gdx;;
cal_test_CAZ;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;CAZ;./config/input.gdx;;
cal_test_CHA;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;CHA;./config/input.gdx;;
cal_test_EUR;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;EUR;./config/input.gdx;;
cal_test_IND;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;IND;./config/input.gdx;;
cal_test_JPN;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;JPN;./config/input.gdx;;
cal_test_LAM;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;LAM;./config/input.gdx;;
cal_test_MEA;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;MEA;./config/input.gdx;;
cal_test_NEU;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;1;10;NEU;./config/input.gdx;;
cal_test_OAS;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;OAS;./config/input.gdx;;
cal_test_REF;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;REF;./config/input.gdx;;
cal_test_SSA;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;SSA;./config/input.gdx;;
cal_test_USA;0;none;0;none;-1;off;testOneRegi;1;2005;calibrate;subsectors;5;5.941;0;10;USA;./config/input.gdx;;
