title;start;qos;oldrun;path_report;magpie_scen;LU_pricing;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_opt
TraInd-Base-DIPOL;0;priority;;;SSP2,NPI;y2150;;;;
TraInd-NDC-DIPOL;1;priority;;;SSP2,NDC;y2150;;;;
TraInd-Npi-DIPOL;1;medium;;;SSP2,NPI;y2150;;;;
TraInd-ROWcp150-S1;0;medium;;;SSP2,NDC,DIPOL_1;y2020;;;;
TraInd-ROWcp150-S2;0;medium;;;SSP2,NDC,DIPOL_2;y2020;;;;
TraInd-ROWcp150-S3;0;medium;;;SSP2,NDC,DIPOL_3;y2020;;;;
TraInd-ROWcp150-S4;0;medium;;;SSP2,NDC,DIPOL_4;y2020;;;;
TraInd-ROWcp150-S5;0;medium;;;SSP2,NDC,DIPOL_5;y2020;;;;
TraInd-ROWcp150-S6;0;medium;;;SSP2,NDC,DIPOL_6;y2020;;;;
TraInd-ROWcp150-socket400-S1;1;medium;;;SSP2,NDC,DIPOL_1,ForestryEndo;y2020;;;;
TraInd-ROWcp150-socket400-S2;1;medium;;;SSP2,NDC,DIPOL_2,ForestryEndo;y2020;;;;
TraInd-ROWcp150-socket400-S3;1;medium;;;SSP2,NDC,DIPOL_3,ForestryEndo;y2020;;;;
TraInd-ROWcp150-socket400-S4;1;medium;;;SSP2,NDC,DIPOL_4,ForestryEndo;y2020;;;;
TraInd-ROWcp150-socket400-S5;1;medium;;;SSP2,NDC,DIPOL_5,ForestryEndo;y2020;;;;
TraInd-ROWcp150-socket400-S6;1;medium;;;SSP2,NDC,DIPOL_6,ForestryEndo;y2020;;;;
TraInd-ROWcp150-GHGneutral-S1;0;medium;;;SSP2,NDC,DIPOL_1,ForestryEndo;y2020;;;;
TraInd-ROWcp150-GHGneutral-S2;0;medium;;;SSP2,NDC,DIPOL_2,ForestryEndo;y2020;;;;
TraInd-ROWcp150-GHGneutral-S3;0;medium;;;SSP2,NDC,DIPOL_3,ForestryEndo;y2020;;;;
TraInd-ROWcp150-GHGneutral-S4;0;medium;;;SSP2,NDC,DIPOL_4,ForestryEndo;y2020;;;;
TraInd-ROWcp150-GHGneutral-S5;0;medium;;;SSP2,NDC,DIPOL_5,ForestryEndo;y2020;;;;
TraInd-ROWcp150-GHGneutral-S6;0;medium;;;SSP2,NDC,DIPOL_6,ForestryEndo;y2020;;;;
TraInd-ROWcp150-CO2neutral-S1;0;medium;;;SSP2,NDC,DIPOL_1,ForestryEndo;y2020;;;;
TraInd-ROWcp150-CO2neutral-S2;0;medium;;;SSP2,NDC,DIPOL_2,ForestryEndo;y2020;;;;
TraInd-ROWcp150-CO2neutral-S3;0;medium;;;SSP2,NDC,DIPOL_3,ForestryEndo;y2020;;;;
TraInd-ROWcp150-CO2neutral-S4;0;medium;;;SSP2,NDC,DIPOL_4,ForestryEndo;y2020;;;;
TraInd-ROWcp150-CO2neutral-S5;0;medium;;;SSP2,NDC,DIPOL_5,ForestryEndo;y2020;;;;
TraInd-ROWcp150-CO2neutral-S6;0;medium;;;SSP2,NDC,DIPOL_6,ForestryEndo;y2020;;;;
