title;start;qos;oldrun;path_report;magpie_scen;LU_pricing;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_opt
TraInd-Base;1;priority;;;SSP2,NPI,ir_EFP;y2150;;;;
TraInd-NDC;1;priority;;;SSP2,NPI,ir_EFP;y2150;;;;
TraInd-Npi;1;medium;;;SSP2,NPI,ir_EFP;y2150;;;;
TraInd-PkBudg900_Conv;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg1100_Conv;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg1300_Conv;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_Elec;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg1100_Elec;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg1300_Elec;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_SA1;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_SA2;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_SA3;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_SA4;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_SA5;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_SA6;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_SA7;1;medium;;;SSP2,NPI,ir_EFP;y2020;;;;
TraInd-PkBudg900_SA8;1;medium;;;SSP2,NPI;y2020;;;;
TraInd-PkBudg900_SA9;1;medium;;;SSP2,NPI;y2020;;;;
