title;start;oldrun;path_report;qos;magpie_scen;no_ghgprices_land_until;.cm_nash_autoconverge_lastrun;path_gdx_carbonprice;path_gdx;path_gdx_ref;path_gdx_refpolicycost;path_gdx_bau;cfg_mag$gms$s15_elastic_demand
ELV_CurPol_NPi;0;;;priority;SSP2|NPI|nocc_hist;y2150;;;;;;;1
ELV_CurPol_NPi2025;0;;;priority;SSP2|NPI|nocc_hist;y2150;;;;;;;1
ELV-SSP2-CP-D0;0;;;priority;SSP2|NPI|nocc_hist;y2150;;;;;;;1
ELV-SSP2-CP-D1;0;;;priority;SSP2|NPI|nocc_hist;y2150;;;;;;;1
ELV-SSP2-CP-D3;0;;;priority;SSP2|NPI|nocc_hist;y2150;;;;;;;1
ELV_NDC2030;1;;;priority;SSP2|NDC|nocc_hist;y2150;;;;;;;1
ELV-SSP2-NDC-D0;1;;;priority;SSP2|NDC|nocc_hist;y2150;;;;;;;1
ELV-SSP2-NDC-D1;1;;;priority;SSP2|NDC|nocc_hist;y2150;;;;;;;1
ELV-SSP2-NDC-D3;1;;;priority;SSP2|NDC|nocc_hist;y2150;;;;;;;1
ELV-SSP2-LTS;1;;;priority;SSP2|NDC|nocc_hist;y2030;;;;;;;1
ELV-SSP2-NDC-LTS;1;;;priority;SSP2|NDC|nocc_hist;y2030;;;;;;;1
ELV-SSP2-1000;1;;;priority;SSP2|NDC|nocc_hist;y2030;;;;;;;1
ELV-SSP2-650;1;;;priority;SSP2|NDC|nocc_hist;y2030;;;;;;;1
