title;start;oldrun;path_report;qos;magpie_scen;no_ghgprices_land_until;cm_nash_autoconverge_lastrun;path_gdx;path_gdx_ref;path_gdx_bau
SSP2-Base;bIT;SSP2-Base;;priority;SSP2|NPI;y2150;;;;
h_ndc;bIT;h_ndc;;priority;SSP2|NDC;y2150;2;;;
h_cpol;bIT;h_cpol;;priority;SSP2|NPI;y2150;2;;;
o_1p5c;bIT;o_1p5c;;short;SSP2|NDC;y2020;2;;;
o_2c;bIT;o_2c;;priority;SSP2|NDC;y2020;2;;;
d_delfrag;bIT;d_delfrag;;priority;SSP2|NDC;y2030;2;;;
d_rap;bIT;d_rap;;priority;SSP2|NDC;y2020;2;;;
SSP2-Base_d50high;d50high;SSP2-Base;;priority;SSP2|NPI;y2150;;;;
SSP2-Base_d95high;d95high;SSP2-Base;;priority;SSP2|NPI;y2150;;;;
h_ndc_d50high;d50high;h_ndc;;priority;SSP2|NDC;y2150;2;;;
h_ndc_d95high;d95high;h_ndc;;priority;SSP2|NDC;y2150;2;;;
h_cpol_d50high;d50high;h_cpol;;short;SSP2|NPI;y2150;2;;;
h_cpol_d95high;d95high;h_cpol;;short;SSP2|NPI;y2150;2;;;
o_1p5c_d50high;d50high;o_1p5c;;short;SSP2|NDC;y2020;2;;;
o_1p5c_d95high;d95high;o_1p5c;;short;SSP2|NDC;y2020;2;;;
o_2c_d50high;d50high;o_2c;;short;SSP2|NDC;y2020;2;;;
o_2c_d95high;d95high;o_2c;;short;SSP2|NDC;y2020;2;;;
d_delfrag_d50high;d50high;d_delfrag;;short;SSP2|NDC;y2030;2;;;
d_delfrag_d95high;d95high;d_delfrag;;short;SSP2|NDC;y2030;2;;;
d_rap_d50high;d50high;d_rap;;short;SSP2|NDC;y2020;2;;;
d_rap_d95high;d95high;d_rap;;short;SSP2|NDC;y2020;2;;;
o_cba_d50high;0;;;;;;;;;
o_cba_d95high;0;;;;;;;;;
SSP2-Base_d50;d50;SSP2-Base;;priority;SSP2|NPI;y2150;;;;
SSP2-Base_d95;d95;SSP2-Base;;priority;SSP2|NPI;y2150;;;;
h_ndc_d50;d50;h_ndc;;priority;SSP2|NDC;y2150;2;;;
h_ndc_d95;d95;h_ndc;;priority;SSP2|NDC;y2150;2;;;
h_cpol_d50;d50;h_cpol;;short;SSP2|NPI;y2150;2;;;
h_cpol_d95;d95;h_cpol;;short;SSP2|NPI;y2150;2;;;
o_1p5c_d50;d50;o_1p5c;;short;SSP2|NDC;y2020;2;;;
o_1p5c_d95;d95;o_1p5c;;short;SSP2|NDC;y2020;2;;;
o_2c_d50;d50;o_2c;;short;SSP2|NDC;y2020;2;;;
o_2c_d95;d95;o_2c;;short;SSP2|NDC;y2020;2;;;
d_delfrag_d50;d50;d_delfrag;;short;SSP2|NDC;y2030;2;;;
d_delfrag_d95;d95;d_delfrag;;short;SSP2|NDC;y2030;2;;;
d_rap_d50;d50;d_rap;;short;SSP2|NDC;y2020;2;;;
d_rap_d95;d95;d_rap;;short;SSP2|NDC;y2020;2;;;
o_cba_d50;0;;;;;;;;;
o_cba_d95;0;;;;;;;;;
