title;start;oldrun;path_report;qos;magpie_scen;no_ghgprices_land_until;path_gdx;path_gdx_bau;path_gdx_ref
SSP2EU-Base;1;;;priority;SSP2|NPI|nocc;y2150;;;
SSP2EU-NDC;1;;;priority;SSP2|NDC|cc|rcp4p5;y2150;;;
SSP2EU-NPi;1;;;priority;SSP2|NPI|cc|rcp4p5;y2150;;;
SSP2EU-PkBudg500;0;;;priority;SSP2|NDC|cc|rcp1p9;y2030;;;
SSP2EU-PkBudg1150;0;;;priority;SSP2|NDC|cc|rcp2p6;y2030;;;
_RESCUE_Scenarios_for_direct_use_in_ESMs;0;;;;;;;;
__PkBudg__;0;;;;;;;;
___OAE_off___;0;;;;;;;;
RESCUEv2p0-PkBudg500-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg1150-OAE_off;1;;;short;SSP2|NDC|cc|rcp2p6;y2030;;;
___OAE_on___;0;;;;;;;;
RESCUEv2p0-PkBudg500-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg1150-OAE_on;1;;;short;SSP2|NDC|cc|rcp2p6;y2030;;;
__EocBudg__;0;;;;;;;;
___OAE_off___;0;;;;;;;;
RESCUEv2p0-EoCBudg500-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EoCBudg1150-OAE_off;1;;;short;SSP2|NDC|cc|rcp2p6;y2030;;;
___OAE_on___;0;;;;;;;;
RESCUEv2p0-EoCBudg500-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EoCBudg1150-OAE_on;1;;;short;SSP2|NDC|cc|rcp2p6;y2030;;;
_RESCUE_scenarios_for_extension_until_2300;0;;;;;;;;
__PkBudg__;0;;;;;;;;
___OAE_off___;0;;;;;;;;
RESCUEv2p0-PkBudg_cp0400-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp0450-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp0500-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp0600-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp0750-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp1000-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp1300-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp1700-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp2300-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
___OAE_on___;0;;;;;;;;
RESCUEv2p0-PkBudg_cp0400-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp0450-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp0500-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp0600-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp0750-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp1000-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp1300-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp1700-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-PkBudg_cp2300-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
__EocBudg__;0;;;;;;;;
___OAE_off___;0;;;;;;;;
RESCUEv2p0-EocBudg_cp0400-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EocBudg_cp0450-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EocBudg_cp0500-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EocBudg_cp0600-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EocBudg_cp0750-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EocBudg_cp1000-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EocBudg_cp1300-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EocBudg_cp1700-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
RESCUEv2p0-EocBudg_cp2300-OAE_off;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
___OAE_on___;0;;;;;;;;
RESCUEv2p0-EocBudg_cp0400-OAE_on;1;;;short;SSP2|NDC|cc|rcp1p9;y2030;;;
