 ;climate|off;techpol|lowCarbonPush;techpol|CombLowCandCoalPO;techpol|coalPhaseout;emicapregi|none;emicapregi|CandC;emicapregi|GDPint;emicapregi|POPint;emicapregi|exog;carbonprice|none;optimization|negishi;optimization|nash;optimization|testOneRegi;cm_emiscen|0;cm_emiscen|1;cm_emiscen|2;cm_emiscen|3;cm_emiscen|4;cm_emiscen|5;cm_emiscen|8;cm_emiscen|9;cm_rcp_scen|none;cm_rcp_scen|26;cm_iterative_target_adj|1;tax|off;cm_fetaxscen|1;cm_fetaxscen|2;codePerformance|on;cm_IndCCSscen|1
climate|off;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1
industry|simple;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
techpol|lowCarbonPush;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
techpol|CombLowCandCoalPO;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
techpol|coalPhaseout;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
emicapregi|none;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
emicapregi|CandC;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
emicapregi|GDPint;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
emicapregi|POPint;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
emicapregi|exog;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
carbonprice|none;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1
optimization|negishi;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
optimization|nash;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
optimization|testOneRegi;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
cm_emiscen|0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;1
cm_emiscen|1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;1
cm_emiscen|2;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;1
cm_emiscen|3;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1
cm_emiscen|4;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;1
cm_emiscen|5;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;1
cm_emiscen|8;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1
cm_emiscen|9;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1
cm_rcp_scen|0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
cm_rcp_scen|1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1
cm_iterative_target_adj|1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1
tax|off;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
cm_fetaxscen|1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
cm_fetaxscen|2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
