                  pc       ngcc        ngt      ngccc     coalhp      gashp       igcc      igccc     elh2  elh2VRE
1900            0.24       0.35       0.17       0.47       0.49       0.54       0.42       0.38     0.57     0.57
1905            0.25       0.36       0.18       0.47       0.50       0.55       0.42       0.38     0.57     0.57
1910            0.26       0.37       0.19       0.47       0.51       0.56       0.42       0.38     0.57     0.57
1915            0.27       0.38       0.20       0.47       0.52       0.57       0.42       0.38     0.57     0.57
1920            0.28       0.39       0.21       0.47       0.53       0.58       0.42       0.38     0.57     0.57
1925            0.29       0.30       0.22       0.47       0.54       0.59       0.42       0.38     0.57     0.57
1930            0.20       0.41       0.23       0.47       0.55       0.60       0.42       0.38     0.57     0.57
1935            0.21       0.42       0.24       0.47       0.56       0.61       0.42       0.38     0.57     0.57
1940            0.22       0.43       0.25       0.47       0.57       0.62       0.42       0.38     0.57     0.57
1945            0.33       0.44       0.26       0.47       0.58       0.63       0.42       0.38     0.57     0.57
1950            0.34       0.45       0.27       0.47       0.59       0.64       0.42       0.38     0.57     0.57
1955            0.35       0.46       0.28       0.47       0.60       0.65       0.42       0.38     0.57     0.57
1960            0.36       0.47       0.29       0.47       0.61       0.66       0.42       0.38     0.57     0.57
1965            0.37       0.48       0.30       0.47       0.62       0.67       0.42       0.38     0.57     0.57
1970            0.38       0.49       0.31       0.47       0.63       0.68       0.42       0.38     0.57     0.57
1975            0.39       0.40       0.32       0.47       0.64       0.69       0.42       0.38     0.57     0.57
1980            0.40       0.51       0.33       0.47       0.65       0.70       0.42       0.38     0.57     0.57
1985            0.41       0.52       0.34       0.47       0.66       0.71       0.42       0.38     0.57     0.57
1990            0.42       0.53       0.35       0.47       0.67       0.72       0.42       0.38     0.57     0.57
1995            0.43       0.54       0.36       0.47       0.68       0.73       0.42       0.38     0.57     0.57
2000            0.44       0.55       0.37       0.47       0.69       0.74       0.42       0.38     0.57     0.57
2005            0.45       0.56       0.38       0.48       0.70       0.75       0.43       0.38     0.57     0.57
2010            0.46       0.57       0.39       0.49       0.71       0.76       0.44       0.39     0.57     0.57
2015            0.47       0.58       0.40       0.51       0.71       0.76       0.45       0.40     0.59     0.59
2020            0.48       0.59       0.41       0.52       0.72       0.77       0.46       0.41     0.61     0.61
2025            0.49       0.60       0.42       0.53       0.72       0.77       0.47       0.42     0.63     0.63
2030            0.50       0.61       0.43       0.54       0.73       0.78       0.48       0.44     0.65     0.65
2035            0.51       0.62       0.43       0.56       0.73       0.78       0.49       0.45     0.67     0.67
2040            0.51       0.63       0.43       0.57       0.74       0.79       0.50       0.46     0.69     0.69
2045            0.51       0.64       0.43       0.58       0.74       0.79       0.51       0.47     0.71     0.71
2050            0.51       0.64       0.43       0.59       0.75       0.80       0.52       0.48     0.73     0.73
2055            0.51       0.64       0.43       0.60       0.75       0.80       0.53       0.48     0.75     0.75
2060            0.51       0.64       0.43       0.60       0.75       0.81       0.54       0.49     0.75     0.75
2065            0.51       0.64       0.43       0.60       0.75       0.81       0.55       0.50     0.75     0.75
2070            0.51       0.64       0.43       0.60       0.75       0.82       0.55       0.51     0.75     0.75
2075            0.51       0.64       0.43       0.60       0.75       0.82       0.55       0.52     0.75     0.75
2080            0.51       0.64       0.43       0.60       0.75       0.83       0.55       0.52     0.75     0.75
2085            0.51       0.64       0.43       0.60       0.75       0.83       0.55       0.52     0.75     0.75
2090            0.51       0.64       0.43       0.60       0.75       0.84       0.55       0.52     0.75     0.75
2095            0.51       0.64       0.43       0.60       0.75       0.84       0.55       0.52     0.75     0.75
2100            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2105            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2110            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2115            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2120            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2125            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2130            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2135            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2140            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2145            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
2150            0.51       0.64       0.43       0.60       0.75       0.85       0.55       0.52     0.75     0.75
