REMINDsectors,GAINS_mixed,GAINS_aggregated,GAINS_extended
Agriculture,,,
AgWasteBurning,,,
ForestBurning,,,
GrasslandBurning,,,
Aviation,,,
InternationalShipping,,,
solvents,CHEM,CHEM,CHEM
indprocess,CEMENT,CEMENT,CEMENT
indprocess,CHEMBULK,CHEMBULK,CHEMBULK
indprocess,CUSM,CUSM,CUSM
indprocess,NACID,NACID,NACID
indprocess,PAPER,PAPER,PAPER
indprocess,STEEL,STEEL,STEEL
indst,End_Use_Industry_Bio_Trad,End_Use_Industry_Bio_Trad,End_Use_Industry_Bio_Trad
indst,End_Use_Industry_Coal,End_Use_Industry_Coal,End_Use_Industry_Coal
indst,End_Use_Industry_HLF,End_Use_Industry_HLF,End_Use_Industry_HLF
indst,End_Use_Industry_LLF,End_Use_Industry_LLF,End_Use_Industry_LLF
indst,End_Use_Industry_NatGas,End_Use_Industry_NatGas,End_Use_Industry_NatGas
res,End_Use_Residential_Bio_Mod,End_Use_Residential_Bio_Mod,End_Use_Residential_Bio_Mod
res,End_Use_Residential_Bio_Trad,End_Use_Residential_Bio_Trad,End_Use_Residential_Bio_Trad_Cook
res,End_Use_Residential_Bio_Trad,End_Use_Residential_Bio_Trad,End_Use_Residential_Bio_Trad_Heat
res,End_Use_Residential_Coal,End_Use_Residential_Coal,End_Use_Residential_Coal_Cook
res,End_Use_Residential_Coal,End_Use_Residential_Coal,End_Use_Residential_Coal_Heat
res,End_Use_Residential_HLF,End_Use_Residential_HLF,End_Use_Residential_HLF
res,End_Use_Residential_LLF,End_Use_Residential_LLF,End_Use_Residential_LLF
res,End_Use_Residential_NatGas,End_Use_Residential_NatGas,End_Use_Residential_NatGas
res,End_Use_Services_Bio_Trad,End_Use_Services_Bio_Trad,End_Use_Services_Bio_Trad_Heat
res,End_Use_Services_Coal,End_Use_Services_Coal,End_Use_Services_Coal_Heat
trans,End_Use_Transport_HLF,End_Use_Transport_HLF,End_Use_Transport_HDT_HLF
trans,End_Use_Transport_HLF,End_Use_Transport_HLF,End_Use_Transport_LDT_HLF
trans,End_Use_Transport_HLF,End_Use_Transport_HLF,End_Use_Transport_OFF_HLF
trans,End_Use_Transport_HLF,End_Use_Transport_HLF,End_Use_Transport_AGR_HLF
trans,End_Use_Transport_LLF,End_Use_Transport_LLF,End_Use_Transport_HDT_LLF
trans,End_Use_Transport_LLF,End_Use_Transport_LLF,End_Use_Transport_LDT_LLF
trans,End_Use_Transport_LLF,End_Use_Transport_LLF,End_Use_Transport_MC_LLF
trans,End_Use_Transport_LLF,End_Use_Transport_LLF,End_Use_Transport_OFF_LLF
trans,End_Use_Transport_NatGas,End_Use_Transport_NatGas,End_Use_Transport_NatGas
extraction,Losses_Coal,Losses_Coal,Losses_Coal
extraction,Losses_Distribution_Use,Losses_Distribution_Use,Losses_Distribution_Use
extraction,Losses_Vent_Flare,Losses_Vent_Flare,Losses_Prod_Conventional_Gas
extraction,Losses_Vent_Flare,Losses_Vent_Flare,Losses_Prod_Oil
power,Power_Gen_Bio_Trad,Power_Gen_Bio_Trad,Power_Gen_Bio_Trad_New
power,Power_Gen_Bio_Trad,Power_Gen_Bio_Trad,Power_Gen_Bio_Trad_Old
power,Power_Gen_Coal,Power_Gen_Coal,Power_Gen_Coal_New
power,Power_Gen_Coal,Power_Gen_Coal,Power_Gen_Coal_Old
power,Power_Gen_HLF,Power_Gen_HLF,Power_Gen_HLF
power,Power_Gen_LLF,Power_Gen_LLF,Power_Gen_HLF_CCS
power,Power_Gen_LLF,Power_Gen_LLF,Power_Gen_LLF
power,Power_Gen_NatGas,Power_Gen_NatGas,Power_Gen_NatGas
power,Transformations_Coal,Transformations_Coal,Transformations_Coal
power,Transformations_HLF,Transformations_HLF,Transformations_HLF
power,Transformations_HLF_Refinery,Transformations_HLF_Refinery,Transformations_HLF_Refinery
power,Transformations_LLF,Transformations_LLF,Transformations_LLF
power,Transformations_NatGas,Transformations_NatGas,Transformations_NatGas
Waste,Waste_Solid_Industrial,,Waste_Solid_Industrial
Waste,Waste_Solid_Municipal,,Waste_Solid_Municipal
Waste,Waste_Water_Industrial,,Waste_Water_Industrial
Waste,Waste_Water_Municipal,,Waste_Water_Municipal
