*** SOF ./input/p24_distance.prn
$ontext
This file contains the distance between regions in kilometers, which is relevant for calculating transportation cost when trading commodities.
$offtext
         OAS          SSA          EUR          NEU          MEA          REF          CAZ          CHA          USA          LAM          IND          JPN
OAS        0         9797         9577         9122         5740         7065         4793         2000        14155        16616         1893         4608
SSA     9797            0         8821         8347         7433         9107        10820        11664        13028         7890         7998        13508
EUR     9577         8821            0          300         1929         1608        16066         7353         6710         9592         5779         8918
NEU     9122         8347          300            0         1188         2288        16594         8072         6597         8889         6241         9669
MEA     5740         7433         1929         1188            0         3335        16976         9106         6793         7915         6827        10801
REF     7065         9107         1608         2288         3335            0        14481         5790         7821        11178         4341         7481
CAZ     4793        10820        16066        16594        16976        14481            0         9011        15945        14059        10353         7950
CHA     2000        11664         7353         8072         9106         5790         9011            0        11144        16929         3776         2099
USA    14155        13028         6710         6597         6793         7821        15945        11144            0         6790        12045        10903
LAM    16616         7890         9592         8889         7915        11178        14059        16929         6790            0        14239        17673
IND     1893         7998         5779         6241         6827         4341        10353         3776        12045        14239            0         5840
JPN     4608        13508         8918         9669        10801         7481         7950         2099        10903        17673         5840            0
*** EOF ./input/p24_distance.prn
