*** SOF ./input/p24_disallowed.prn
$ontext
This file contains data specifying which regions are allowed to trade with which other regions for a given commodity and trade mode (pipeline/shipping).
$offtext
       OAS.pegas.pipeline         SSA.pegas.pipeline         EUR.pegas.pipeline         NEU.pegas.pipeline         MEA.pegas.pipeline         REF.pegas.pipeline         CAZ.pegas.pipeline         CHA.pegas.pipeline         USA.pegas.pipeline         LAM.pegas.pipeline         IND.pegas.pipeline         JPN.pegas.pipeline
OAS                    0                          0                          0                          0                          0                          0                          1                          1                          1                          0                          0                          0
SSA                    1                          0                          0                          1                          0                          1                          0                          0                          0                          0                          0                          0
EUR                    0                          0                          0                          0                          0                          0                          0                          0                          0                          0                          0                          1
NEU                    0                          0                          0                          1                          1                          1                          0                          0                          0                          0                          0                          0
MEA                    0                          0                          0                          0                          0                          0                          0                          0                          0                          1                          0                          0
REF                    0                          1                          0                          0                          0                          0                          0                          0                          0                          0                          0                          0
CAZ                    0                          0                          0                          0                          1                          0                          0                          0                          1                          0                          1                          0
CHA                    0                          0                          0                          0                          0                          0                          0                          0                          0                          1                          0                          0
USA                    1                          0                          0                          0                          0                          0                          0                          1                          0                          0                          1                          0
LAM                    0                          0                          0                          0                          1                          0                          0                          0                          1                          0                          0                          0
IND                    0                          0                          1                          1                          0                          0                          1                          0                          0                          0                          0                          0
JPN                    0                          0                          1                          0                          0                          1                          0                          0                          0                          0                          0                          0

+      OAS.pegas.shipping         SSA.pegas.shipping         EUR.pegas.shipping         NEU.pegas.shipping         MEA.pegas.shipping         REF.pegas.shipping         CAZ.pegas.shipping         CHA.pegas.shipping         USA.pegas.shipping         LAM.pegas.shipping         IND.pegas.shipping         JPN.pegas.shipping
OAS                    0                          0                          0                          0                          0                          0                          1                          1                          1                          0                          0                          0
SSA                    1                          0                          0                          1                          0                          1                          0                          0                          0                          0                          0                          0
EUR                    0                          0                          0                          0                          0                          0                          0                          0                          0                          0                          0                          1
NEU                    0                          0                          0                          1                          1                          1                          0                          0                          0                          0                          0                          0
MEA                    0                          0                          0                          0                          0                          0                          0                          0                          0                          1                          0                          0
REF                    0                          1                          0                          0                          0                          0                          0                          0                          0                          0                          0                          0
CAZ                    0                          0                          0                          0                          1                          0                          0                          0                          1                          0                          1                          0
CHA                    0                          0                          0                          0                          0                          0                          0                          0                          0                          1                          0                          0
USA                    1                          0                          0                          0                          0                          0                          0                          1                          0                          0                          1                          0
LAM                    0                          0                          0                          0                          1                          0                          0                          0                          1                          0                          0                          0
IND                    0                          0                          1                          1                          0                          0                          1                          0                          0                          0                          0                          0
JPN                    0                          0                          1                          0                          0                          1                          0                          0                          0                          0                          0                          0

*** EOF ./input/p24_disallowed.prn
