# |  (C) 2006-2023 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
pm_PEPrice, parameter, only used in capacity realization
pm_SEPrice, parameter, only necessary for secondary energy trade
pm_gdp,input,questionnaire
pm_omeg,parameter,only used in capacity realization
pm_data,parameter,only used in capacity realization
pm_tsu2opTimeYr,parameter,only used in capacity realization
pm_ttot_val,parameter,only used in capacity realization
pm_ts,parameter,only used in capacity realization
pm_prodFEReference, parameter, not needed
sm_TWa_2_TWh, parameter, not needed
sm_trillion_2_non, parameter, not needed
sm_GJ_2_TWa, parameter, not needed
sm_TWa_2_kWh, parameter, not needed
sm_h2kg_2_h2kWh, parameter, not needed
