dummy,AFR,CHN,EUR,IND,JPN,LAM,MEA,OAS,ROW,RUS,USA
2005,0.11851,0.3781814,0.2791152,0.2037957,0,0.2035481,0.0800885,0.0904918,0.0983916,0.1013999,0.2804263
2010,0.1638585,0.4442552,0.2816626,0.2330339,0,0.2407526,0.0989724,0.1003993,0.1005435,0.1057052,0.3218602
2015,0.217716,0.501236,0.2818974,0.269139,0,0.2902201,0.1080284,0.1063798,0.1043747,0.1054261,0.3204354
2020,0.2772076,0.5595603,0.2821574,0.3110574,0,0.3418124,0.1219973,0.1058378,0.107429,0.1077645,0.3216385
2025,0.3342963,0.5920455,0.2803661,0.3429854,0,0.376689,0.1359873,0.1094279,0.1091288,0.1106819,0.3231465
2030,0.4056101,0.5994626,0.2393196,0.355598,0,0.3989938,0.1370581,0.1038483,0.0844952,0.0985311,0.2999456
2035,0.4644131,0.6088261,0.2367837,0.3814202,0,0.4324014,0.1453176,0.1059047,0.0846941,0.0968055,0.3066742
2040,0.522489,0.5890747,0.2159388,0.3809996,0,0.4425577,0.1421778,0.0992759,0.0807274,0.0961751,0.2573056
2045,0.5877722,0.5728276,0.2049749,0.3881187,0,0.4092392,0.1360612,0.0936408,0.0756098,0.0988654,0.2340786
2050,0.6881836,0.5265925,0.1953738,0.3710881,0,0.3533137,0.1317916,0.0887696,0.0722664,0.0978457,0.2277964
2055,0.7276017,0.4910446,0.1803794,0.3573782,0,0.3511046,0.1247429,0.0836037,0.0608686,0.090595,0.2247085
2060,0.7512581,0.456696,0.1742317,0.3319742,0,0.3409395,0.1180458,0.0768455,0.0540377,0.0887184,0.2062696
2065,0.75348335,0.4241104,0.1642677,0.31251415,0,0.32995035,0.1127434,0.0699427,0.05080575,0.0739904,0.20111135
2070,0.7557086,0.3915248,0.1543037,0.2930541,0,0.3189612,0.107441,0.0630399,0.0475738,0.0592624,0.1959531
2075,0.7341276,0.33008845,0.1443894,0.2750236,0,0.296238,0.1011468,0.0813032,0.04192705,0.05629675,0.18852345
2080,0.7125466,0.2686521,0.1344751,0.2569931,0,0.2735148,0.0948526,0.0995665,0.0362803,0.0533311,0.1810938
2085,0.66332285,0.2340657,0.1296927,0.23856265,0,0.2591515,0.09437725,0.09489865,0.03272375,0.0534827,0.17379685
2090,0.6140991,0.1994793,0.1249103,0.2201322,0,0.2447882,0.0939019,0.0902308,0.0291672,0.0536343,0.1664999
2095,0.5615575,0.1608612,0.11888925,0.2091368,0,0.23022135,0.09346755,0.0968058,0.0259356,0.0526523,0.1585165
2100,0.5090159,0.1222431,0.1128682,0.1981414,0,0.2156545,0.0930332,0.1033808,0.022704,0.0516703,0.1505331
2105,0.5104943,0.11612095,0.11418765,0.194219,0,0.21429025,0.09226405,0.1064976,0.0213978,0.05250605,0.150794
2110,0.5119727,0.1099988,0.1155071,0.1902966,0,0.212926,0.0914949,0.1096144,0.0200916,0.0533418,0.1510549
2115,0.518377225,0.10939375,0.113681175,0.186488325,0,0.210861725,0.091033675,0.108041925,0.0191459,0.0544525,0.149854425
2120,0.52478175,0.1087887,0.11185525,0.18268005,0,0.20879745,0.09057245,0.10646945,0.0182002,0.0555632,0.14865395
2125,0.531186275,0.10818365,0.110029325,0.178871775,0,0.206733175,0.090111225,0.104896975,0.0172545,0.0566739,0.147453475
2130,0.5375908,0.1075786,0.1082034,0.1750635,0,0.2046689,0.08965,0.1033245,0.0163088,0.0577846,0.146253
2135,0.542584475,0.1052415,0.1075001,0.172826975,0,0.203025375,0.088975775,0.10302335,0.0155698,0.0584046,0.145869575
2140,0.54757815,0.1029044,0.1067968,0.17059045,0,0.20138185,0.08830155,0.1027222,0.0148308,0.0590246,0.14548615
2145,0.552571825,0.1005673,0.1060935,0.168353925,0,0.199738325,0.087627325,0.10242105,0.0140918,0.0596446,0.145102725
2150,0.5575655,0.0982302,0.1053902,0.1661174,0,0.1980948,0.0869531,0.1021199,0.0133528,0.0602646,0.1447193
