# |  (C) 2006-2024 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
vm_cesIO, variable, ???
sm_tmp, switch, ???
vm_effGr, variable, ???
vm_deltaCap,variable,???
pm_shPPPMER,parameter,???
pm_gdp,parameter,???
pm_lab,parameter,???
sm_EJ_2_TWa,input,questionnaire
pm_cesdata_sigma,input,questionnaire
pm_delta_kap,input,questionnaire
sm_tmp2,input,questionnaire
pm_ttot_val,input,questionnaire
pm_ue_eff_target,parameter,not needed
pm_calibrate_eff_scale,parameter,not needed
pm_fedemand,parameter,not needed
pm_energy_limit,,
sm_CES_calibration_iteration,scalar,only applicable during calibration
cm_H2InBuildOnlyAfter,parameter,???
p29_building_relaxed_bounds_dyn,set,not needed
