# |  (C) 2006-2020 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name, type, reason
sm_EJ_2_TWa, scalar, ??
cm_earlyreti_rate, scalar, ??
vm_prodPe, variable, ??
vm_Mport, variable, ??
pm_IO_trade, parameter, ??
pm_EN_demand_from_initialcap2, parameter, ??
pm_prtp, parameter, ??
pm_costsTradePeFinancial,parameter,???
cm_trdadj,switch,???
qm_fuel2pe,equation,???
vm_Xport,input,questionnaire
pm_fuelex_cum,input,questionnaire
pm_prodIni,input,questionnaire
