# |  (C) 2006-2020 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
vm_capDistr, variable, ???
vm_demSeOth, variable, ???
vm_prodSeOth, variable, ???
pm_emifac, parameter, ???
cm_nucscen, switch, ???
vm_deltaCap,input,questionnaire
cm_emiscen,input,questionnaire
cm_ccapturescen,input,questionnaire
pm_boundCapCCS,input,questionnaire
pm_cap0,input,questionnaire
