# |  (C) 2006-2020 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
sm_EJ_2_TWa, switch, ???
pm_ts, parameter,???
cm_startyear, switch, ???
sm_eps,scalar,???
fm_dataemiglob,parameter,???
pm_eta_conv,parameter,???
vm_prodFe,variable,???
cm_gs_ew,switch,???
vm_capFac,variable,???
pm_pop,input,questionnaire
cm_LimRock,input,questionnaire
cm_ccapturescen,input,questionnaire
vm_demFeSector,input,questionnaire
cm_emiscen,input,questionnaire
