scenario_name;options;switch
ConvCase;enhancedtech;FALSE
ConvCase;inconvenience;TRUE
ConvCase;merge_traccs;TRUE
ConvCase;rebates_febates;FALSE
ConvCase;selfmarket_acceptancy;FALSE
ConvCase;selfmarket_policypush;FALSE
ConvCase;selfmarket_taxes;FALSE
ConvCase;smartlifestyle;FALSE
ElecEra;enhancedtech;TRUE
ElecEra;inconvenience;TRUE
ElecEra;merge_traccs;TRUE
ElecEra;rebates_febates;TRUE
ElecEra;selfmarket_acceptancy;TRUE
ElecEra;selfmarket_policypush;TRUE
ElecEra;selfmarket_taxes;TRUE
ElecEra;smartlifestyle;FALSE
HydrHype;enhancedtech;TRUE
HydrHype;inconvenience;TRUE
HydrHype;merge_traccs;TRUE
HydrHype;rebates_febates;TRUE
HydrHype;selfmarket_acceptancy;TRUE
HydrHype;selfmarket_policypush;TRUE
HydrHype;selfmarket_taxes;TRUE
HydrHype;smartlifestyle;FALSE
ConvCaseWise;enhancedtech;FALSE
ConvCaseWise;inconvenience;TRUE
ConvCaseWise;merge_traccs;TRUE
ConvCaseWise;rebates_febates;FALSE
ConvCaseWise;selfmarket_acceptancy;FALSE
ConvCaseWise;selfmarket_policypush;FALSE
ConvCaseWise;selfmarket_taxes;FALSE
ConvCaseWise;smartlifestyle;TRUE
ElecEraWise;enhancedtech;TRUE
ElecEraWise;inconvenience;TRUE
ElecEraWise;merge_traccs;TRUE
ElecEraWise;rebates_febates;TRUE
ElecEraWise;selfmarket_acceptancy;TRUE
ElecEraWise;selfmarket_policypush;TRUE
ElecEraWise;selfmarket_taxes;TRUE
ElecEraWise;smartlifestyle;TRUE
HydrHypeWise;enhancedtech;TRUE
HydrHypeWise;inconvenience;TRUE
HydrHypeWise;merge_traccs;TRUE
HydrHypeWise;rebates_febates;TRUE
HydrHypeWise;selfmarket_acceptancy;TRUE
HydrHypeWise;selfmarket_policypush;TRUE
HydrHypeWise;selfmarket_taxes;TRUE
HydrHypeWise;smartlifestyle;TRUE
