sector,subsector_L3,subsector_L2,subsector_L1,vehicle_type,technology,CES_node
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Motorcycle (50-250cc),BEV,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Motorcycle (50-250cc),Liquids,fepet_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Moped,BEV,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Moped,Liquids,fepet_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Motorcycle (>250cc),BEV,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,fepet_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Motorcycle (50-250cc),LA-BEV,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Scooter,BEV,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_2W,Scooter,Liquids,fepet_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Compact Car,BEV,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Compact Car,FCEV,feh2t_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,fepet_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Compact Car,Liquids,fepet_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Compact Car,NG,fegat_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Mini Car,BEV,feelt_p_sm
trn_pass,trn_pass_road,trn_pass_road_LDV,trn_pass_road_LDV_4W,Mini Car,FCEV,feh2t_p_sm
