# |  (C) 2006-2020 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
vm_cap,input,questionnaire
vm_prodUe,input,questionnaire
pm_boundCapEV,input,questionnaire
pm_cesdata,input,questionnaire
pm_pop,input,questionnaire
pm_gdp,input,questionnaire
pm_vintage_in,input,questionnaire
vm_shUePeT,input,questionnaire
vm_capFac,input,questionnaire
pm_eta_conv,input,questionnaire
vm_cesIO,input,questionnaire
pm_prodCouple,input,questionnaire
