# |  (C) 2006-2024 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,                        type,       reason
cm_emiscen,                  parameter,  not needed
pm_calibrate_eff_scale,      parameter,  not needed
pm_delta_kap,                input,      questionnaire
pm_emifacNonEnergy,          parameter,  not needed
pm_exogDemScen,              input,      added by codeCheck
pm_fedemand,                 parameter,  not needed
pm_incinerationRate,         parameter,  not needed
pm_outflowPrcHist,           parameter,  not needed
pm_secBioShare,              parameter,  not needed
pm_specFeDem,                parameter,  not needed
pm_tau_ces_tax,              input,      questionnaire
pm_ts,                       parameter,  not needed
sm_EJ_2_TWa,                 input,      not needed
sm_giga_2_non,               input,      not needed
sm_macChange,                parameter,  not needed
sm_tmp2,                     parameter,  not needed
sm_TWa_2_MWh,                input,      questionnaire
v37_FeedstocksCarbon,        variable,   not needed
v37_plasticsCarbon,          variable,   not needed
v37_plasticWaste,            variable,   not needed
vm_capFac,                   variable,   not needed
vm_cap,                      variable,   not needed
vm_costMatPrc,               variable,   not needed
vm_demFENonEnergySector,     variable,   not needed
vm_feedstockEmiUnknownFate,  variable,   not needed
vm_incinerationCCS,          variable,   does not want to play
vm_incinerationEmi,          variable,   not needed
vm_nonIncineratedPlastics,   variable,   not needed
vm_outflowPrc,               variable,   not needed
sm_D2020_2_D2017,input,no conversion needed
sm_EURO2023_2_D2017,input,no conversion needed
