name,type,reason
sm_dmac,input,questionnaire
sm_eps,input,questionnaire
sm_tmp,input,questionnaire
vm_emiMacSector,input,questionnaire
vm_cesIO,input,questionnaire
vm_effGr,input,questionnaire
pm_cesdata,input,questionnaire
pm_ppfen_shares,input,questionnaire
pm_cesdata_sigma,input,questionnaire
pm_macAbat,input,questionnaire
pm_macStep,input,questionnaire
cm_optimisticMAC,input,questionnaire
cm_CCS_chemicals,input,questionnaire
cm_CCS_steel,input,questionnaire
cm_startyear,input,questionnaire
fm_dataemiglob,input,questionnaire
pm_delta_kap,input,questionnaire
pm_macCostSwitch,input,questionnaire
sm_MtCH4_2_TWa,input,questionnaire
cm_emiscen,switch,not needed
pm_calibrate_eff_scale,parameter,not needed
pm_ue_eff_target,parameter,not needed
pm_fedemand,parameter,not needed
vm_demFeSector,input,questionnaire
vm_costAddTeInv,input,questionnaire
vm_shfe,input,questionnaire
pm_shfe_up,input,questionnaire
pm_shfe_lo,input,questionnaire
cm_indst_H2costAddH2Inv,input,questionnaire
cm_indst_costDecayStart,input,questionnaire
cm_indst_H2costDecayEnd,input,questionnaire
