# |  (C) 2006-2020 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name, type, reason
vm_co2eqGlob, variable, ???
vm_Xport, variable, ???
vm_Mport, variable, ???
sm_budgetCO2eqGlob, parameter, ???
pm_gdp_gdx, parameter, ???
pm_pop, parameter, ???
pm_budgetCO2eq, parameter, ???
cm_emiscen, switch, ???
vm_dummyBudget,input,questionnaire
pm_shPPPMER,input,questionnair
pm_gdp,input,questionnaire
cm_permittradescen,input,questionnaire
