name,type,reason
cm_emiscen, switch, ???
cm_co2_tax_2020, switch, ???
vm_cesIO,variable,???
pm_pvp,parameter,???
pm_ttot_val,parameter,???
pm_ts,parameter,???
cm_co2_tax_growth,switch,???
cm_expoLinear_yearStart,switch,???
pm_globalMeanTemperature,input,questionnaire
pm_temperatureImpulseResponseCO2,input,questionnaire
pm_consPC,input,questionnaire
pm_GDPGross,input,questionnaire
pm_prtp,input,questionnaire
cm_carbonprice_temperatureLimit,input,questionnaire
pm_ttot_2_tall,input,questionnaire
sm_c_2_co2,input,questionnaire
vm_co2eq,input,questionnaire
vm_emiFgas,input,questionnaire
cm_iterative_target_adj,input,questionnaire
pm_shPPPMER,input,questionnaire
pm_pop,input,questionnaire
pm_gdp,input,questionnaire
cm_CO2priceRegConvEndYr,input,questionnaire
cm_peakBudgYr,input,questionnaire
cm_taxCO2inc_after_peakBudgYr,input,questionnaire
vm_demFeSector,input,questionnaire
pm_emifac,input,questionnaire
