# |  (C) 2006-2023 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
cm_emiscen, switch, ???
sm_c_2_co2,switch, ???
pm_ttot_val,parameter,???
cm_startyear,switch,???
cm_iterative_target_adj,switch,???
cm_expoLinear_yearStart,switch,???
vm_co2eq,variable,???
vm_emiFgas,input,questionnaire
pm_globalMeanTemperature,input,questionnaire
pm_temperatureImpulseResponseCO2,input,questionnaire
pm_consPC,input,questionnaire
pm_GDPGross,input,questionnaire
pm_prtp,input,questionnaire
cm_carbonprice_temperatureLimit,input,questionnaire
pm_ttot_2_tall,input,questionnaire
pm_shPPPMER,input,questionnaire
pm_pop,input,questionnaire
pm_gdp,input,questionnaire
vm_demFeSector,input,questionnaire
pm_emifac,input,questionnaire
cm_peakBudgYr,input,not needed
sm_D2005_2_D2017,input,not needed
sm_budgetCO2eqGlob,input,added by codeCheck
vm_emiAll,input,added by codeCheck
pm_taxCO2eq_anchor_iterationdiff,input,added by codeCheck
pm_budgetCO2eq,input,added by codeCheck
cm_iteration_max,input,added by codeCheck
cm_taxCO2_startyear,input,added by codeCheck
cm_taxCO2_expGrowth,input,added by codeCheck
cm_budgetCO2from2020,input,added by codeCheck
cm_taxCO2_IncAfterPeakBudgYr,input,added by codeCheck
sm_globalBudget_absDev,input,no target adjustement
pm_taxCO2eq_iter,input,added by codeCheck
cm_budgetCO2_absDevTol,input,added by codeCheck
pm_actualbudgetco2,input,added by codeCheck
cm_taxCO2_peakBudgYr,input,added by codeCheck
cm_taxCO2_regiDiff,input,added by codeCheck
cm_taxCO2_interpolation,input,added by codeCheck
cm_taxCO2_lowerBound_path_gdx_ref,input,added by codeCheck
s45_peakBudgYr_check,input,not needed
sm_peakbudget_diff,input,not needed
pm_NDCEmiTargetDeviation,input,not used
pm_actualbudgetco2eqRegi,input,added by codeCheck
pm_dt,input,added by codeCheck
cm_taxCO2_Shape,input,added by codeCheck
cm_CPslopeAdjustment,input,added by codeCheck
cm_useInputGdxForCarbonPrice,input,added by codeCheck
pm_factorRescale_taxCO2Regi_Funneled2,input,added by codeCheck
pm_budgetDeviation,input,added by codeCheck
pm_regionalBudget_absDevTol,input,added by codeCheck
