name,type,reason
sm_c_2_co2,input,questionnaire
cm_peakBudgYr,input,questionnaire
vm_co2eq,input,questionnaire
vm_emiFgas,input,questionnaire
vm_prodSe,input,questionnaire
vm_prodFe,input,questionnaire
pm_pvp,input,questionnaire
pm_globalMeanTemperature,input,questionnaire
pm_temperatureImpulseResponseCO2,input,questionnaire
pm_GDPGross,input,questionnaire
pm_ttot_val,input,questionnaire
pm_ts,input,questionnaire
pm_ttot_2_tall,input,questionnaire
cm_emiscen,input,questionnaire
cm_co2_tax_growth,input,questionnaire
cm_iterative_target_adj,input,questionnaire
cm_expoLinear_yearStart,input,questionnaire
cm_carbonprice_temperatureLimit,input,questionnaire
cm_taxCO2inc_after_peakBudgYr,input,questionnaire
vm_cesIO,input,questionnaire
pm_consPC,input,questionnaire
pm_prtp,input,questionnaire
pm_prodCouple,input,questionnaire
pm_bunker_share_in_nonldv_fe,input,questionnaire
