# |  (C) 2006-2023 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
sm_c_2_co2,input,questionnaire
vm_co2eq,input,questionnaire
vm_emiFgas,input,questionnaire
pm_globalMeanTemperature,input,questionnaire
pm_temperatureImpulseResponseCO2,input,questionnaire
pm_GDPGross,input,questionnaire
pm_ttot_val,input,questionnaire
pm_ttot_2_tall,input,questionnaire
cm_emiscen,input,questionnaire
cm_co2_tax_growth,input,questionnaire
cm_expoLinear_yearStart,input,questionnaire
cm_carbonprice_temperatureLimit,input,questionnaire
cm_NDC_divergentScenario,input,questionnaire
pm_consPC,input,questionnaire
pm_prtp,input,questionnaire
vm_demFeSector,input,questionnaire
pm_emifac,input,questionnaire
cm_co2_tax_2020,input,replaced by cm_co2_tax_startyear in this realization
sm_D2005_2_D2017,input,not needed
fm_taxCO2eqHist,input,not needed
