name,type,reason
sm_c_2_co2,switch, ???
vm_prodSe,variable,???
vm_prodFe,variable,???
pm_ttot_val,parameter,???
cm_emiscen,switch,???
cm_iterative_target_adj,switch,???
cm_expoLinear_yearStart,switch,???
pm_prodCouple,parameter,???
pm_bunker_share_in_nonldv_fe,parameter,???
vm_co2eq,variable,???
vm_emiFgas,input,questionnaire
pm_globalMeanTemperature,input,questionnaire
pm_temperatureImpulseResponseCO2,input,questionnaire
pm_consPC,input,questionnaire
pm_GDPGross,input,questionnaire
pm_prtp,input,questionnaire
cm_carbonprice_temperatureLimit,input,questionnaire
pm_ttot_2_tall,input,questionnaire
pm_shPPPMER,input,questionnaire
pm_pop,input,questionnaire
pm_gdp,input,questionnaire
cm_CO2priceRegConvEndYr,input,questionnaire
cm_peakBudgYr,input,questionnaire
cm_taxCO2inc_after_peakBudgYr,input,questionnaire
