# |  (C) 2006-2024 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
cm_co2_tax_2020, switch, ???
sm_c_2_co2,switch, ???
pm_ttot_val,parameter,???
cm_co2_tax_growth,switch,???
cm_expoLinear_yearStart,switch,???
vm_co2eq,variable,???
vm_emiFgas,input,questionnaire
pm_globalMeanTemperature,input,questionnaire
pm_temperatureImpulseResponseCO2,input,questionnaire
pm_consPC,input,questionnaire
pm_GDPGross,input,questionnaire
pm_prtp,input,questionnaire
cm_carbonprice_temperatureLimit,input,questionnaire
pm_ttot_2_tall,input,questionnaire
pm_shPPPMER,input,questionnaire
pm_pop,input,questionnaire
pm_gdp,input,questionnaire
cm_CO2priceRegConvEndYr,input,questionnaire
cm_NDC_divergentScenario,input,questionnaire
vm_demFeSector,input,questionnaire
pm_emifac,input,questionnaire
sm_DptCO2_2_TDpGtC,input,questionnaire
cm_startyear,input,questionnaire
cm_co2_tax_spread,switch,no carbon price differentiation in this realization
cm_co2_tax_startyear,input,added by codeCheck
cm_peakBudgYr,input,added by codeCheck
cm_taxCO2inc_after_peakBudgYr,input,added by codeCheck
sm_D2005_2_D2017,input,not needed
fm_taxCO2eqHist,input,not needed
