# |  (C) 2006-2022 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
cm_NDC_version,input,questionnaire
sm_c_2_co2,input,questionnaire
sm_DptCO2_2_TDpGtC,input,questionnaire
vm_co2eq,input,questionnaire
vm_emiFgas,input,questionnaire
vm_demFeSector,input,questionnaire
pm_taxCO2eq,input,questionnaire
pm_emifac,input,questionnaire
vm_emiTe,input,questionnaire
vm_emiCdr,input,questionnaire
vm_emiMac,input,questionnaire
