# |  (C) 2006-2022 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
sm_tgn_2_pgc,input,questionnaire
sm_tgch4_2_pgc,input,questionnaire
sm_DptCO2_2_TDpGtC,input,questionnaire
vm_co2eqMkt,input,questionnaire
vm_emiAllMkt,input,questionnaire
vm_taxrevimplicitQttyTargetTax,input,questionnaire
vm_cap,input,questionnaire
vm_demFeSector,input,questionnaire
pm_taxCO2eqHist,input,questionnaire
pm_taxCO2eq,input,questionnaire
pm_taxCO2eqRegi,input,questionnaire
pm_taxemiMkt,input,questionnaire
pm_taxemiMkt_iteration,input,questionnaire
pm_data,input,questionnaire
pm_inco0_t,input,questionnaire
pm_taxCO2eqSCC,input,questionnaire
pm_ts,input,questionnaire
cm_postTargetIncrease,input,questionnaire
cm_emiMktTargetDelay,input,questionnaire
pm_histCap,input,questionnaire
vm_emiCdr,input,questionnaire
pm_share_CCS_CCO2,input,questionnaire
pm_emiMktTarget_dev_iter,input,questionnaire
pm_emiMktCurrent,input,questionnaire
pm_factorRescaleemiMktCO2Tax,input,questionnaire
pm_emiMktTarget,input,questionnaire
pm_IndstCO2Captured,input,questionnaire
pm_macBaseMagpie,input,questionnaire
cm_startyear,input,questionnaire
pm_eta_conv,input,questionnaire
pm_tau_pe_tax,input,questionnaire
vm_demPe,input,questionnaire
vm_demSe,input,questionnaire
pm_taxCO2eqSum,input,questionnaire
pm_emiMktRefYear,input,questionnaire
pm_implicitQttyTarget_isLimited,input,questionnaire
pm_taxrevGHG0,input,questionnaire
pm_taxrevCO2Sector0,input,questionnaire
pm_taxrevCO2LUC0,input,questionnaire
pm_taxrevNetNegEmi0,input,questionnaire
vm_shSeEl,input,questionnaire
pm_implicitQttyTarget,input,questionnaire
pm_implicitQttyTarget_dev,input,questionnaire
vm_capTotal,input,questionnaire
pm_tau_ces_tax,input,questionnaire
sm_DpGJ_2_TDpTWa,input,questionnaire
vm_taxrevimplicitPriceTax,input,questionnaire
vm_taxrevimplicitPePriceTax,input,questionnaire
pm_FEPrice_by_SE_Sector,input,questionnaire
pm_implicitPriceTarget,input,questionnaire
pm_implicitPrice_NotConv,input,questionnaire
pm_implicitPrice_ignConv,input,questionnaire
p47_implicitPrice_dev,input,questionnaire
vm_prodPe,input,questionnaire
pm_PEPrice,input,questionnaire
pm_ttot_val,input,questionnaire
pm_implicitPePriceTarget,input,questionnaire
pm_implicitPePrice_NotConv,input,questionnaire
pm_implicitPePrice_ignConv,input,questionnaire
vm_capFac,input,questionnaire
pm_shareWindPotentialOff2On,input,questionnaire
cm_EnSecScen_limit,input,questionnaire
pm_conv_TWa_EJ,input,questionnaire
pm_shareWindOff,input,questionnaire
vm_cesIO,input,added by codeCheck
pm_exogDemScen,input,added by codeCheck
vm_emiFgas,input,questionnaire
vm_emiMacSector,input,questionnaire
vm_emiTeDetailMkt,input,added by codeCheck
vm_emiTeMkt,input,added by codeCheck
