name,type,reason
pm_temperatureImpulseResponseCO2,input,questionnaire
cm_damages_BurkeLike_specification,input,questionnaire
cm_damages_BurkeLike_persistenceTime,input,questionnaire
cm_damage_KWSE,input,questionnaire
pm_regionalTemperature,input,questionnaire
pm_damageProd,input,questionnaire
pm_damageTC,input,questionnaire
pm_damageGrowthRateTC,input,questionnaire
pm_tempScaleGlob2Reg,input,questionnaire
pm_damageGrowthRate,input,questionnaire
pm_damageMarginalT,input,questionnaire
pm_damageMarginalTm1,input,questionnaire
pm_damageMarginalTm2,input,questionnaire
pm_damageMarginalTC,input,questionnaire
pm_damageImp,input,questionnaire
pm_damageScc,input,questionnaire
