# |  (C) 2006-2022 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
cm_damages_BurkeLike_persistenceTime,input,questionnaire
pm_damageGrowthRate,input,questionnaire
pm_damageMarginalT,input,questionnaire
pm_damageMarginalTm1,input,questionnaire
pm_damageMarginalTm2,input,questionnaire
pm_damageProd,input,questionnaire
pm_damageTC,input,questionnaire
pm_damageGrowthRateTC,input,questionnaire
pm_GDPfrac,input,questionnaire
pm_damageMarginalTC,input,questionnaire
pm_GDPGrossIso,input,questionnaire
pm_damageImp,input,questionnaire
pm_damageScc,input,questionnaire
pm_damageIso,input,questionnaire
pm_damageGrowthRateIso,input,questionnaire
pm_sccIneq,input,questionnaire
