# |  (C) 2006-2022 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
pm_cesdata,input,questionnaire
pm_lab,input,questionnaire
pm_GDPGross,input,questionnaire
pm_interpolWeight_ttot_tall,input,questionnaire
pm_tempScaleGlob2Reg,input,questionnaire
pm_damage,input,questionnaire
pm_damageGrowthRate,input,questionnaire
pm_damageMarginalT,input,questionnaire
pm_damageMarginalTm1,input,questionnaire
pm_damageProd,input,questionnaire
pm_damageTC,input,questionnaire
pm_damageMarginalTm2,input,questionnaire
pm_tall_2_ttot,input,questionnaire
pm_damageGrowthRateTC,input,questionnaire
pm_GDPfrac,input,questionnaire
pm_damageMarginalTC,input,questionnaire
pm_damageImp,input,questionnaire
pm_damageScc,input,questionnaire
cm_damages_BurkeLike_persistenceTime,input,questionnaire
pm_sccIneq,input,questionnaire
