# |  (C) 2006-2024 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
pm_pop,                         parameter,  ???
vm_emiTe,                       variable,   ???
sm_EJ_2_TWa,                    scalar,     ???
vm_emiAll,                      variable,   ???
vm_effGr,                       variable,   ???
pm_welf,                        parameter,  ???
pm_prtp,                        parameter,  ???
cm_iteration_max,               switch,     ???
cm_abortOnConsecFail,           switch,     ???
cm_nash_mode,                   switch,     not needed
cm_nash_autoconverge,           switch,     ???
pm_emiMktTarget_tolerance,      switch,     not needed
cm_implicitQttyTarget_tolerance,switch,     not needed
sm_eps,                         scalar,     ???
pm_co2eq0,                      parameter,  ???
pm_capCum0,                     parameter,  ???
pm_NXagr,                       parameter,  ???
vm_perm,                        variable,   ???
pm_cesdata,                     parameter,  ???
pm_budgetCO2eq,                 parameter,  ???
sm_budgetCO2eqGlob,             parameter,  ???
qm_co2eqCum,                    equation,   ???
sm_endBudgetCO2eq,              scalar,     ???
pm_ttot_val,                    parameter,  ???
qm_budget,                      equation,   ???
sm_fadeoutPriceAnticip,         scalar,     ???
vm_co2eq,                       variable,   ???
pm_taxCO2eq,                    parameter,  ???
cm_emiscen,                     switch,     ???
pm_nfa_start,                   input,      questionnaire
vm_cesIO,                       variable,   ???
cm_TaxConvCheck,                variable,   ??
sm_globalBudget_absDev,         input,      ??
pm_factorRescaleemiMktCO2Tax,   input,      ??
pm_emiMktTarget,                input,      ??
pm_emiMktTarget_dev_iter,       input,      ??
pm_emiMktCurrent,               input,      ??
pm_taxemiMkt_iteration,         input,      ??
pm_emiMktTarget_dev,            parameter,  ???
pm_emiMktRefYear,               parameter,  ???
pm_implicitQttyTarget_isLimited, parameter, ???
pm_implicitQttyTarget_dev,      parameter,  ???
pm_implicitQttyTarget,          parameter,  ???
pm_implicitPriceTarget,         parameter,  not needed
pm_implicitPrice_NotConv,       parameter,  not needed
pm_implicitPrice_ignConv,       parameter,  not needed
pm_implicitPePriceTarget,       parameter,  not needed
pm_implicitPePrice_NotConv,     parameter,  not needed
pm_implicitPePrice_ignConv,     parameter,  not needed
cm_maxFadeOutPriceAnticip,      parameter,  ???
cm_sccConvergence,		        switch,     not needed
pm_sccConvergenceMaxDeviation,	parameter,  ???
pm_gmt_conv,	                parameter,  ???
cm_tempConvergence,		        switch,     not needed
cm_LearningSpillover,           input,      learning spillover only implemented in nash
pm_allTargetsConverged,         parameter,  only relevant for nash
pm_taxCO2eq_anchor_iterationdiff,input,no iterative target adjustment
pm_taxCO2eq_iter,input,added by codeCheck
cm_budgetCO2_absDevTol,input,added by codeCheck
cm_peakBudgYr,input,not needed
sm_peakbudget_diff_tolerance,input,not needed
cm_iterative_target_adj,input,not needed
sm_peakBudgYr_check,input,not needed
sm_peakbudget_diff,input,not needed
