X;CountryCode;CellCode
AFR.1;SEN;GLO.1
AFR.2;SEN;GLO.2
AFR.3;GMB;GLO.3
AFR.4;SEN;GLO.4
AFR.5;SEN;GLO.5
AFR.6;SEN;GLO.6
AFR.7;MRT;GLO.7
AFR.8;MRT;GLO.8
AFR.9;ESH;GLO.9
AFR.10;ESH;GLO.10
AFR.11;SEN;GLO.11
AFR.12;SEN;GLO.12
AFR.13;GMB;GLO.13
AFR.14;SEN;GLO.14
AFR.15;SEN;GLO.15
AFR.16;SEN;GLO.16
AFR.17;SEN;GLO.17
AFR.18;SEN;GLO.18
AFR.19;SEN;GLO.19
AFR.20;MRT;GLO.20
AFR.21;MRT;GLO.21
AFR.22;MRT;GLO.22
AFR.23;MRT;GLO.23
AFR.24;MRT;GLO.24
AFR.25;MRT;GLO.25
AFR.26;MRT;GLO.26
AFR.27;ESH;GLO.27
AFR.28;ESH;GLO.28
AFR.29;ESH;GLO.29
AFR.30;GNB;GLO.30
AFR.31;SEN;GLO.31
AFR.32;SEN;GLO.32
AFR.33;SEN;GLO.33
AFR.34;SEN;GLO.34
AFR.35;SEN;GLO.35
AFR.36;SEN;GLO.36
AFR.37;SEN;GLO.37
AFR.38;SEN;GLO.38
AFR.39;MRT;GLO.39
AFR.40;MRT;GLO.40
AFR.41;MRT;GLO.41
AFR.42;MRT;GLO.42
AFR.43;MRT;GLO.43
AFR.44;MRT;GLO.44
AFR.45;MRT;GLO.45
AFR.46;MRT;GLO.46
AFR.47;MRT;GLO.47
AFR.48;MRT;GLO.48
AFR.49;ESH;GLO.49
AFR.50;ESH;GLO.50
AFR.51;ESH;GLO.51
AFR.52;ESH;GLO.52
AFR.53;ESH;GLO.53
AFR.54;GNB;GLO.54
AFR.55;GNB;GLO.55
AFR.56;GNB;GLO.56
AFR.57;SEN;GLO.57
AFR.58;SEN;GLO.58
AFR.59;SEN;GLO.59
AFR.60;SEN;GLO.60
AFR.61;SEN;GLO.61
AFR.62;SEN;GLO.62
AFR.63;SEN;GLO.63
AFR.64;SEN;GLO.64
AFR.65;MRT;GLO.65
AFR.66;MRT;GLO.66
AFR.67;MRT;GLO.67
AFR.68;MRT;GLO.68
AFR.69;MRT;GLO.69
AFR.70;MRT;GLO.70
AFR.71;MRT;GLO.71
AFR.72;MRT;GLO.72
AFR.73;MRT;GLO.73
AFR.74;MRT;GLO.74
AFR.75;ESH;GLO.75
AFR.76;ESH;GLO.76
AFR.77;ESH;GLO.77
AFR.78;ESH;GLO.78
AFR.79;ESH;GLO.79
AFR.80;ESH;GLO.80
AFR.81;GIN;GLO.81
AFR.82;GIN;GLO.82
AFR.83;GNB;GLO.83
AFR.84;GNB;GLO.84
AFR.85;SEN;GLO.85
AFR.86;SEN;GLO.86
AFR.87;SEN;GLO.87
AFR.88;SEN;GLO.88
AFR.89;SEN;GLO.89
AFR.90;SEN;GLO.90
AFR.91;SEN;GLO.91
AFR.92;SEN;GLO.92
AFR.93;MRT;GLO.93
AFR.94;MRT;GLO.94
AFR.95;MRT;GLO.95
AFR.96;MRT;GLO.96
AFR.97;MRT;GLO.97
AFR.98;MRT;GLO.98
AFR.99;MRT;GLO.99
AFR.100;MRT;GLO.100
AFR.101;MRT;GLO.101
AFR.102;MRT;GLO.102
AFR.103;ESH;GLO.103
AFR.104;ESH;GLO.104
AFR.105;ESH;GLO.105
AFR.106;ESH;GLO.106
AFR.107;ESH;GLO.107
AFR.108;ESH;GLO.108
AFR.109;ESH;GLO.109
AFR.110;ESH;GLO.110
AFR.111;ESH;GLO.111
AFR.112;GIN;GLO.112
AFR.113;GIN;GLO.113
AFR.114;GIN;GLO.114
AFR.115;GNB;GLO.115
AFR.116;GNB;GLO.116
AFR.117;SEN;GLO.117
AFR.118;GMB;GLO.118
AFR.119;SEN;GLO.119
AFR.120;SEN;GLO.120
AFR.121;SEN;GLO.121
AFR.122;SEN;GLO.122
AFR.123;SEN;GLO.123
AFR.124;SEN;GLO.124
AFR.125;MRT;GLO.125
AFR.126;MRT;GLO.126
AFR.127;MRT;GLO.127
AFR.128;MRT;GLO.128
AFR.129;MRT;GLO.129
AFR.130;MRT;GLO.130
AFR.131;MRT;GLO.131
AFR.132;MRT;GLO.132
AFR.133;MRT;GLO.133
AFR.134;MRT;GLO.134
AFR.135;ESH;GLO.135
AFR.136;ESH;GLO.136
AFR.137;ESH;GLO.137
AFR.138;ESH;GLO.138
AFR.139;ESH;GLO.139
AFR.140;ESH;GLO.140
AFR.141;ESH;GLO.141
AFR.142;ESH;GLO.142
AFR.143;ESH;GLO.143
AFR.144;ESH;GLO.144
AFR.145;GIN;GLO.145
AFR.146;GIN;GLO.146
AFR.147;GIN;GLO.147
AFR.148;GIN;GLO.148
AFR.149;GNB;GLO.149
AFR.150;GIN;GLO.150
AFR.151;SEN;GLO.151
AFR.152;SEN;GLO.152
AFR.153;SEN;GLO.153
AFR.154;SEN;GLO.154
AFR.155;SEN;GLO.155
AFR.156;SEN;GLO.156
AFR.157;SEN;GLO.157
AFR.158;MRT;GLO.158
AFR.159;MRT;GLO.159
AFR.160;MRT;GLO.160
AFR.161;MRT;GLO.161
AFR.162;MRT;GLO.162
AFR.163;MRT;GLO.163
AFR.164;MRT;GLO.164
AFR.165;MRT;GLO.165
AFR.166;MRT;GLO.166
AFR.167;MRT;GLO.167
AFR.168;MRT;GLO.168
AFR.169;ESH;GLO.169
AFR.170;ESH;GLO.170
AFR.171;ESH;GLO.171
AFR.172;ESH;GLO.172
AFR.173;ESH;GLO.173
AFR.174;ESH;GLO.174
AFR.175;ESH;GLO.175
AFR.176;ESH;GLO.176
AFR.177;ESH;GLO.177
AFR.178;ESH;GLO.178
AFR.179;GIN;GLO.179
AFR.180;GIN;GLO.180
AFR.181;GIN;GLO.181
AFR.182;GIN;GLO.182
AFR.183;GIN;GLO.183
AFR.184;GIN;GLO.184
AFR.185;GIN;GLO.185
AFR.186;SEN;GLO.186
AFR.187;SEN;GLO.187
AFR.188;SEN;GLO.188
AFR.189;SEN;GLO.189
AFR.190;SEN;GLO.190
AFR.191;SEN;GLO.191
AFR.192;MRT;GLO.192
AFR.193;MRT;GLO.193
AFR.194;MRT;GLO.194
AFR.195;MRT;GLO.195
AFR.196;MRT;GLO.196
AFR.197;MRT;GLO.197
AFR.198;MRT;GLO.198
AFR.199;MRT;GLO.199
AFR.200;MRT;GLO.200
AFR.201;MRT;GLO.201
AFR.202;MRT;GLO.202
AFR.203;MRT;GLO.203
AFR.204;ESH;GLO.204
AFR.205;ESH;GLO.205
AFR.206;ESH;GLO.206
AFR.207;ESH;GLO.207
AFR.208;ESH;GLO.208
AFR.209;ESH;GLO.209
AFR.210;ESH;GLO.210
AFR.211;ESH;GLO.211
AFR.212;ESH;GLO.212
AFR.213;ESH;GLO.213
AFR.214;ESH;GLO.214
AFR.215;ESH;GLO.215
AFR.216;SLE;GLO.216
AFR.217;SLE;GLO.217
AFR.218;SLE;GLO.218
AFR.219;SLE;GLO.219
AFR.220;GIN;GLO.220
AFR.221;GIN;GLO.221
AFR.222;GIN;GLO.222
AFR.223;GIN;GLO.223
AFR.224;GIN;GLO.224
AFR.225;GIN;GLO.225
AFR.226;SEN;GLO.226
AFR.227;SEN;GLO.227
AFR.228;SEN;GLO.228
AFR.229;SEN;GLO.229
AFR.230;SEN;GLO.230
AFR.231;MRT;GLO.231
AFR.232;MRT;GLO.232
AFR.233;MRT;GLO.233
AFR.234;MRT;GLO.234
AFR.235;MRT;GLO.235
AFR.236;MRT;GLO.236
AFR.237;MRT;GLO.237
AFR.238;MRT;GLO.238
AFR.239;MRT;GLO.239
AFR.240;MRT;GLO.240
AFR.241;MRT;GLO.241
AFR.242;MRT;GLO.242
AFR.243;MRT;GLO.243
AFR.244;MRT;GLO.244
AFR.245;MRT;GLO.245
AFR.246;MRT;GLO.246
AFR.247;ESH;GLO.247
AFR.248;ESH;GLO.248
AFR.249;ESH;GLO.249
AFR.250;ESH;GLO.250
AFR.251;ESH;GLO.251
AFR.252;ESH;GLO.252
AFR.253;ESH;GLO.253
AFR.254;ESH;GLO.254
AFR.255;ESH;GLO.255
AFR.256;SLE;GLO.256
AFR.257;SLE;GLO.257
AFR.258;SLE;GLO.258
AFR.259;SLE;GLO.259
AFR.260;SLE;GLO.260
AFR.261;GIN;GLO.261
AFR.262;GIN;GLO.262
AFR.263;GIN;GLO.263
AFR.264;GIN;GLO.264
AFR.265;GIN;GLO.265
AFR.266;SEN;GLO.266
AFR.267;SEN;GLO.267
AFR.268;SEN;GLO.268
AFR.269;SEN;GLO.269
AFR.270;SEN;GLO.270
AFR.271;MRT;GLO.271
AFR.272;MRT;GLO.272
AFR.273;MRT;GLO.273
AFR.274;MRT;GLO.274
AFR.275;MRT;GLO.275
AFR.276;MRT;GLO.276
AFR.277;MRT;GLO.277
AFR.278;MRT;GLO.278
AFR.279;MRT;GLO.279
AFR.280;MRT;GLO.280
AFR.281;MRT;GLO.281
AFR.282;MRT;GLO.282
AFR.283;MRT;GLO.283
AFR.284;MRT;GLO.284
AFR.285;MRT;GLO.285
AFR.286;MRT;GLO.286
AFR.287;MRT;GLO.287
AFR.288;ESH;GLO.288
