title;start;cm_iteration_max;cm_MOFEX;fossil;regionmapping;cm_coal_scen;cm_gas_scen;cm_oil_scen;cm_rcp_scen;cm_iterative_target_adj;c_budgetCO2;carbonprice;cm_co2_tax_startyear;cm_co2_tax_growth;cm_emiscen;techpol;cm_multigasscen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;revision;model;output
Base;0;1;off;timeDepGrades;./config/regionmappingH12.csv;;;;none;0;0;none;-1;1.05;1;none;2;2005;./config/input.gdx;;;;;
NDC;0;1;;;./config/regionmappingH12.csv;;;;rcp45;3;0;NDC;1;1.05;9;NDC;3;2015;./config/input.gdx;Base;Base;;;
NPi;0;1;;;./config/regionmappingH12.csv;;;;rcp45;3;0;NPi;1;1.05;9;NPi2018;3;2025;./config/input.gdx;NDC;Base;;;
Budg600;0;1;;;./config/regionmappingH12.csv;;;;rcp20;5;600;expoLinear;30;1.05;9;NDC;2;2025;./config/input.gdx;NDC;Base;;;
Budg950;0;1;;;./config/regionmappingH12.csv;;;;rcp26;5;950;expoLinear;30;1.05;9;NDC;2;2025;./config/input.gdx;NDC;Base;;;
Budg1300;0;1;;;./config/regionmappingH12.csv;;;;rcp26;5;1300;expoLinear;30;1.05;9;NDC;2;2025;./config/input.gdx;NDC;Base;;;
Base_MOFEX_SSP2;1;1;on;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;medCoal;medGas;medOil;none;0;0;none;-1;1.05;1;none;2;2005;./standalone/MOFEX/input_old.gdx;;;5.928;./standalone/MOFEX/MOFEX.gms;reporting_MOFEX, reporting
Base_MOFEX_SSP5;0;1;on;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;highCoal;highGas;highOil;none;0;0;none;-1;1.05;1;none;2;2005;./standalone/MOFEX/input_old.gdx;;;;;
Base_MOFEX_SSP1;0;1;on;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;lowCoal;lowGas;lowOil;none;0;0;none;-1;1.05;1;none;2;2005;./standalone/MOFEX/input_old.gdx;;;;;
Base_MOFEX_high_coal;0;1;on;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;highCoal;medGas;medOil;none;0;0;none;-1;1.05;1;none;2;2005;./standalone/MOFEX/input_old.gdx;;;;;
Budg600_MOFEX;0;1;on;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;medCoal;medGas;medOil;rcp20;5;600;expoLinear;30;1.05;9;NDC;2;2025;./standalone/MOFEX/input_old.gdx;Base;./output/Base_MOFEX_2019-08-09_13.22.33/MOFEX.gms;;;
Budg950_MOFEX;0;1;on;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;medCoal;medGas;medOil;rcp26;5;950;expoLinear;30;1.05;9;NDC;2;2025;./standalone/MOFEX/input_old.gdx;NDC;./output/Base_MOFEX_2019-08-09_13.22.33/MOFEX.gms;;;
Budg1300_MOFEX;0;1;on;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;medCoal;medGas;medOil;rcp26;5;1300;expoLinear;30;1.05;9;NDC;2;2025;./standalone/MOFEX/input_old.gdx;NDC;./output/Base_MOFEX_2019-08-09_13.22.33/MOFEX.gms;;;
NDC_MOFEX;0;1;on;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;medCoal;medGas;medOil;rcp45;3;0;NDC;1;1.05;9;NDC;3;2015;./standalone/MOFEX/input_old.gdx;./output/Base_MOFEX_2019-08-09_13.22.33/MOFEX.gms;./output/Base_MOFEX_2019-08-09_13.22.33/MOFEX.gms;;;
Base_grades2poly_SSP2;0;1;off;grades2poly;./standalone/MOFEX/config/regionmappingREMIND.csv;medCoal;medGas;medOil;none;0;0;none;-1;1.05;1;none;2;2005;./standalone/MOFEX/input_old.gdx;;;;;
Base_timeDepGrades_SSP2;0;1;off;timeDepGrades;./standalone/MOFEX/config/regionmappingREMIND.csv;medCoal;medGas;medOil;none;0;0;none;-1;1.05;1;none;2;2005;./standalone/MOFEX/input_old.gdx;;;;;
